domain,organic_keywords,organic_traffic_est,traffic_value_usd,pos_1,pos_2_3,pos_4_10,pos_11_20,pos_21_30,keywords_new,keywords_lost,domain_rank,backlinks,referring_domains,referring_main_domains,spam_score,crawled_pages
wassersfurniture.com,191,891.5,955.5,3,3,14,20,26,127,815,187,1449,392,385,26,4254
modernmiami.com,12845,321412.6,744213.13,937,1405,1303,2147,2523,6031,5146,332,14620,5215,5191,18,22162
addisonhouse.com,1338,11924.3,65620.7,44,61,142,256,276,660,511,173,720,291,278,22,5298
mh2g.com,1714,12301.9,36905.82,26,58,230,305,344,789,827,252,1644,815,799,17,2958
scandesign.com,6136,112454.5,275511.58,331,474,621,1128,1106,2740,3062,279,1799,309,291,21,8879
camerichmiami.com,181,419.4,11895.18,2,2,22,22,44,92,54,55,82,53,46,27,333
habitusfurniture.com,436,1503.1,5327.85,8,25,71,83,66,246,177,147,373,131,123,29,774
baers.com,13127,316118.9,668740.33,605,1416,2597,2410,2089,7212,11405,351,10935,1029,1009,22,249
cityfurniture.com,15822,553714.9,1423315.85,410,504,1922,2854,2838,11145,26824,307,11967,2707,2564,19,1323
eldoradofurniture.com,18881,284918.0,597798.48,700,885,2725,4075,3740,10819,12756,332,13765,3243,3033,20,20562
modani.com,14052,902290.3,2273773.05,1059,848,1309,2306,2615,6571,11057,298,10268,1279,1243,13,4051
