keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
reclining chair,2,3,135000,21870,0,1.6600000858306885,1,transactional,https://www.americanleather.com/category/motion-furniture/recliners/,1
recliner,4,5,110000,7249,2,1.5899999141693115,1,transactional,https://www.americanleather.com/category/motion-furniture/recliners/,1
leather settee recliner,1,2,22200,6748.8,0,2.2100000381469727,1,transactional,https://www.americanleather.com/all-products/motion-furniture/motion-sofas/,1
bed sofa beds,2,7,40500,6561,0,0.9900000095367432,1,transactional,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
best couch to bed,1,2,18100,5502.4,13,3.369999885559082,1,commercial,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
best sofa bed couches,1,1,18100,5502.4,13,3.369999885559082,1,transactional,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
best sofa sleeper beds,1,3,18100,5502.4,36,3.369999885559082,1,transactional,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
best sofa sleepers,1,2,18100,5502.4,4,3.369999885559082,1,commercial,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
nice sofa beds,1,2,18100,5502.4,24,3.369999885559082,1,transactional,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
top sofa bed,1,2,18100,5502.4,8,3.369999885559082,1,transactional,https://www.americanleather.com/category/sleeper-sofas/comfort-sleeper/,1
american leather,1,1,14800,4499.2,24,1.3600000143051147,1,navigational,https://www.americanleather.com/,1
leather furniture ottoman,1,2,14800,4499.2,0,2.299999952316284,1,transactional,https://www.americanleather.com/category/stationary-furniture/ottomans/,1
leather couches,4,7,60500,3986.9,0,2.5899999141693115,1,transactional,https://www.americanleather.com/,1
american leather sleeper sofa,1,1,12100,3678.4,4,2.8600001335144043,1,transactional,https://www.americanleather.com/category/sleeper-sofas/,1
leather recliners,2,4,22200,3596.4,3,2.200000047683716,1,transactional,https://www.americanleather.com/product-collections/comfort-recliner-collection,1
leather sofa that reclines,2,6,22200,3596.4,0,2.2100000381469727,1,transactional,https://www.americanleather.com/all-products/motion-furniture/motion-sofas/,1
leather sofas with recliner,2,3,22200,3596.4,0,2.2100000381469727,1,transactional,https://www.americanleather.com/all-products/motion-furniture/motion-sofas/,1
leatherette recliners,2,4,22200,3596.4,0,2.200000047683716,1,transactional,https://www.americanleather.com/product-collections/comfort-recliner-collection,1
