keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
contemporary tables dining,1,1,14800,4499.2,0,2.2799999713897705,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
contemporary end table,1,2,6600,2006.4,0,1.8199999332427979,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
furniture shopping nyc,2,5,9900,1603.8,16,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
furniture stores nyc,2,5,9900,1603.8,0,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
end tables and,7,8,60500,1548.8,2,1.2899999618530273,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
side tables living room,4,4,22200,1463.0,3,1.4500000476837158,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
contemporary end tables for living room,1,1,4400,1337.6,0,1.5899999141693115,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
contemporary recliner chairs,1,2,4400,1337.6,0,2.009999990463257,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
modern recliner chairs,1,2,4400,1337.6,0,2.009999990463257,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
recliner chair contemporary,1,2,4400,1337.6,0,2.009999990463257,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
reclining chair modern,1,3,4400,1337.6,0,2.009999990463257,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
end table contemporary,2,3,6600,1069.2,0,1.8199999332427979,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
side table contemporary,2,3,6600,1069.2,0,2.1700000762939453,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
dining room table modern,4,10,14800,975.3,0,2.2799999713897705,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
leather furniture,2,6,5400,874.8,2,2.369999885559082,1,transactional,https://www.jensen-lewis.com/collections/american-leather,1
jensen lewis furniture,1,1,2400,729.6,0,4.449999809265137,0.6299999952316284,navigational,https://www.jensen-lewis.com/,1
