keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
room and board,1,1,201000,61104,3,1.350000023841858,1,navigational,https://www.roomandboard.com/,1
roomandboard,1,1,201000,61104,13,1.350000023841858,1,navigational,https://www.roomandboard.com/,1
canopy bed room,1,2,74000,22496,0,1.340000033378601,1,transactional,https://www.roomandboard.com/catalog/bedroom/beds?filter=Canopy,1
l shaped couch,1,2,60500,18392,0,1.6700000762939453,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
l shaped couches,1,2,60500,18392,0,1.6700000762939453,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
l shaped sectional couch,1,2,60500,18392,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
l shaped sectional sofas,1,2,60500,18392,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
l-shaped sectional couch,1,2,60500,18392,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
room & board,1,1,60500,18392,7,1.4900000095367432,0.5299999713897705,navigational,https://www.roomandboard.com/,1
room in board,1,1,60500,18392,5,1.4900000095367432,0.5299999713897705,informational,https://www.roomandboard.com/,1
sectional sofa l-shaped,1,3,60500,18392,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
sectional sofas l shaped,1,3,60500,18392,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
outdoor chairs lounge,1,2,49500,15048,0,1.7300000190734863,1,transactional,https://www.roomandboard.com/catalog/outdoor/outdoor-lounge-chairs,1
sleeper sofas,3,7,110000,10703,0,2.2200000286102295,1,transactional,https://www.roomandboard.com/ideas-advice/design-your-space/living/sleeper-sofa-comparison-guide,1
l-shaped sectional sofa,2,3,60500,9801,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
home and furnishings,2,6,49500,8019,18,2.5399999618530273,0.8199999928474426,informational,https://www.roomandboard.com/,1
lounger chairs outdoor,2,5,49500,8019,0,1.7300000190734863,1,transactional,https://www.roomandboard.com/catalog/outdoor/outdoor-lounge-chairs,1
beds with metal frames,2,3,40500,6561,0,1.3700000047683716,1,transactional,https://www.roomandboard.com/catalog/bedroom/beds?filter=Metal,1
dining chairs room,2,4,40500,6561,0,2.2200000286102295,1,transactional,https://www.roomandboard.com/catalog/dining-and-kitchen/chairs,1
dining extension table,2,4,40500,6561,0,2.430000066757202,1,transactional,https://www.roomandboard.com/catalog/dining-and-kitchen/tables/adams-extension-tables,1
bench,4,7,90500,5964.0,26,1.9500000476837158,1,transactional,https://www.roomandboard.com/catalog/living/benches-and-stools,1
chairs for dining,4,8,90500,5964.0,0,2.509999990463257,1,transactional,https://www.roomandboard.com/catalog/dining-and-kitchen/chairs,1
daybeds,4,10,90500,5964.0,0,1.1800000667572021,1,transactional,https://www.roomandboard.com/catalog/living/chaises-and-daybeds,1
mid century furniture furniture,4,5,90500,5964.0,0,2.3299999237060547,1,commercial,https://www.roomandboard.com/catalog/living/mid-century-modern-furniture,1
round tables,4,8,90500,5964.0,1,1.0299999713897705,1,transactional,https://www.roomandboard.com/catalog/dining-and-kitchen/tables?filter=Round+%26+Oval,1
l shape couch,3,7,60500,5886.6,0,1.6700000762939453,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
l shape sectional couch,3,4,60500,5886.6,0,2.049999952316284,1,transactional,https://www.roomandboard.com/catalog/living/sectionals?filter=L-shaped,1
