keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
ditres,3,60500,5886.6,13,8.359999656677246,informational,https://addisonhouse.com/collections/ditre-italia
modern furniture design store,6,12100,409.0,30,4.300000190734863,navigational,https://addisonhouse.com/
addison house,1,1300,395.2,0,1.7400000095367432,navigational,https://addisonhouse.com/
addison home,1,720,218.9,18,1.559999942779541,navigational,https://addisonhouse.com/
entertainment centers and wall units,5,4400,206.4,0,1.8700000047683716,commercial,https://addisonhouse.com/collections/living-room-entertainment-centers
addison house design district,1,590,179.4,0,1.7300000190734863,navigational,https://addisonhouse.com/
high end furniture showrooms,7,6600,169.0,32,3.369999885559082,navigational,https://addisonhouse.com/
addison house aventura,1,480,145.9,0,1.7400000095367432,informational,https://addisonhouse.com/
addison's house,3,1300,126.5,0,1.7400000095367432,informational,https://addisonhouse.com/pages/about-us
wall units and entertainment centers,7,4400,112.6,0,1.8700000047683716,commercial,https://addisonhouse.com/collections/living-room-entertainment-centers
missoni home,3,1000,97.3,0,2.3499999046325684,navigational,https://addisonhouse.com/collections/missoni
addison house doral outlet,1,320,97.3,0,1.059999942779541,navigational,https://addisonhouse.com/collections/outlet
addison house miami,1,320,97.3,0,2.059999942779541,navigational,https://addisonhouse.com/
addison light,1,260,79.0,0,1.559999942779541,navigational,https://addisonhouse.com/collections/lighting
addison rugs,3,720,70.1,0,1.409999966621399,navigational,https://addisonhouse.com/collections/living-room-rugs-amp-carpets
furniture stores miami fl,9,4400,66,6,3.380000114440918,commercial,https://addisonhouse.com/
furniture stores doral fl,1,210,63.8,0,4.869999885559082,commercial,https://addisonhouse.com/
furniture stores in addison,1,210,63.8,0,2.8899998664855957,commercial,https://addisonhouse.com/
luxury furniture stores in miami,1,210,63.8,0,5.090000152587891,commercial,https://addisonhouse.com/
luxury furniture stores miami,1,210,63.8,0,5.090000152587891,commercial,https://addisonhouse.com/
miami luxury furniture stores,1,210,63.8,0,5.090000152587891,commercial,https://addisonhouse.com/
design district furniture stores,2,390,63.2,20,4.880000114440918,navigational,https://addisonhouse.com/
miami design district furniture stores,2,390,63.2,0,4.880000114440918,navigational,https://addisonhouse.com/
modern furniture miami,3,590,57.4,14,6,commercial,https://addisonhouse.com/
modern stores,2,320,51.8,15,3.4100000858306885,navigational,https://addisonhouse.com/
addison furniture,1,170,51.7,0,2.1600000858306885,navigational,https://addisonhouse.com/
addison house outlet,1,170,51.7,0,3.009999990463257,navigational,https://addisonhouse.com/collections/outlet
contemporary furniture stores in miami fl,1,170,51.7,0,3.9000000953674316,commercial,https://addisonhouse.com/
miami contemporary furniture stores,1,170,51.7,4,3.9000000953674316,navigational,https://addisonhouse.com/
modern furniture stores in miami fl,1,170,51.7,8,3.9000000953674316,commercial,https://addisonhouse.com/
modern furniture stores in miami florida,1,170,51.7,8,3.9000000953674316,commercial,https://addisonhouse.com/
modern furniture stores miami,1,170,51.7,2,3.9000000953674316,navigational,https://addisonhouse.com/
kenneth cobonpue,3,480,46.7,9,2.180000066757202,informational,https://addisonhouse.com/collections/kenneth-cobonpue
addison lighting,2,260,42.1,0,1.559999942779541,navigational,https://addisonhouse.com/collections/lighting
aventura furniture stores,2,260,42.1,0,3.7899999618530273,navigational,https://addisonhouse.com/
furniture stores aventura fl,2,260,42.1,0,3.7899999618530273,navigational,https://addisonhouse.com/
wall unit and tv stand,2,260,42.1,0,1.5799999237060547,transactional,https://addisonhouse.com/collections/living-room-entertainment-centers
designer furniture store,4,590,38.9,21,3.200000047683716,navigational,https://addisonhouse.com/
design district furniture stores miami,3,390,37.9,5,4.880000114440918,navigational,https://addisonhouse.com/
upscale furniture store,6,1000,33.8,23,2.7300000190734863,navigational,https://addisonhouse.com/
addison house furniture,1,110,33.4,0,1.850000023841858,navigational,https://addisonhouse.com/
addison house near me,1,110,33.4,0,4.809999942779541,navigational,https://addisonhouse.com/
couples chair,4,480,31.6,0,0.6600000262260437,transactional,https://addisonhouse.com/products/couple-lounge-chair
latina p,2,170,27.5,15,,informational,https://addisonhouse.com/products/latina-p-latina-hp-armchair
art glass coffee table,1,90,27.4,0,2.059999942779541,transactional,https://addisonhouse.com/products/art-glass-round-glass-and-steel-coffee-table-50
art glass table,1,90,27.4,0,2.009999990463257,transactional,https://addisonhouse.com/products/art-glass-round-glass-and-steel-coffee-table-50
glass art coffee table,1,90,27.4,0,2.059999942779541,transactional,https://addisonhouse.com/products/art-glass-round-glass-and-steel-coffee-table-50
design district miami furniture stores,4,390,25.7,9,4.880000114440918,navigational,https://addisonhouse.com/
missoni pillows,8,1300,25.6,0,2.369999885559082,transactional,https://addisonhouse.com/collections/missoni
aventura furniture store,3,260,25.3,0,3.7899999618530273,navigational,https://addisonhouse.com/
furniture store aventura,3,260,25.3,0,3.7899999618530273,navigational,https://addisonhouse.com/
furniture stores aventura,3,260,25.3,0,3.7899999618530273,navigational,https://addisonhouse.com/
wall units and tv stands,3,260,25.3,0,1.5799999237060547,transactional,https://addisonhouse.com/collections/living-room-entertainment-centers
media center wall unit,2,140,22.7,0,1.600000023841858,transactional,https://addisonhouse.com/collections/living-room-entertainment-centers
addison couch,1,70,21.3,0,1.2799999713897705,transactional,https://addisonhouse.com/collections/sofas-amp-sectionals
addison house warehouse,1,70,21.3,0,,navigational,https://addisonhouse.com/collections/outlet
addison sofa,1,70,21.3,0,1.2799999713897705,transactional,https://addisonhouse.com/collections/sofas-amp-sectionals
couple lounge chair,1,70,21.3,0,0.4099999964237213,transactional,https://addisonhouse.com/products/couple-lounge-chair
luxury furniture in miami,1,70,21.3,0,4.059999942779541,commercial,https://addisonhouse.com/
luxury furniture miami,1,70,21.3,0,4.059999942779541,commercial,https://addisonhouse.com/
modern miami furniture stores,3,210,20.4,3,3.130000114440918,navigational,https://addisonhouse.com/
spider coffee table,3,210,20.4,0,1.100000023841858,transactional,https://addisonhouse.com/products/spider-coffee-table
