keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
furniture stores near me,10,1000000,11300,3,4.230000019073486,commercial,https://www.baers.com/
end tables,2,60500,9801,8,1.2899999618530273,transactional,https://www.baers.com/browse/accent-tables/end-tables/75
armchair for dining room,2,40500,6561,0,2.2200000286102295,transactional,https://www.baers.com/browse/dining-room/chairs/43?n_pid=386289169
curio and cabinets,2,40500,6561,0,0.9100000262260437,navigational,https://www.baers.com/browse?pid=929727323
curios and cabinets,2,40500,6561,1,0.9100000262260437,navigational,https://www.baers.com/browse?pid=929727323
b a e r s furniture,1,14800,4499.2,0,1.649999976158142,navigational,https://www.baers.com/
baer furniture,1,14800,4499.2,0,1.649999976158142,navigational,https://www.baers.com/
baer's,1,14800,4499.2,0,1.2000000476837158,informational,https://www.baers.com/
baer's furniture,1,14800,4499.2,1,1.649999976158142,navigational,https://www.baers.com/
cocktail table marble,2,27100,4390.2,0,1.7100000381469727,transactional,https://www.baers.com/browse/accent-tables/cocktail-tables/76?n_665324823%5b%5d=199832886
curio cabinets,3,40500,3940.6,0,0.9100000262260437,transactional,https://www.baers.com/browse?pid=929727323
baers furniture company inc,1,9900,3009.6,6,2.4100000858306885,navigational,https://www.baers.com/
leather accent chair,1,9900,3009.6,0,3.1500000953674316,transactional,https://www.baers.com/browse/accent-chairs/608?n_-1016731037=-1317483307
ottoman cocktail table,2,18100,2932.2,0,1.4700000286102295,transactional,https://www.baers.com/browse/living-room/ottomans/34?n_-1618748700%5b%5d=-1419926398
baer,2,14800,2397.6,17,1.2000000476837158,informational,https://www.baers.com/
d ax,7,90500,2316.8,43,2.1500000953674316,informational,https://www.baers.com/brand/chateau-d'ax/-188409567
glass cocktail table,3,22200,2160.1,0,1.4199999570846558,transactional,https://www.baers.com/browse/accent-tables/cocktail-tables/76?n_665324823%5b%5d=1863897927
recliner that swivels,2,12100,1960.2,0,1.9300000667572021,transactional,https://www.baers.com/browse/living-room/recliners/36?n_-1070342577%5b%5d=1807855884
recliners that swivel,2,12100,1960.2,0,1.9300000667572021,transactional,https://www.baers.com/browse/living-room/recliners/36?n_-1070342577%5b%5d=1807855884
ottoman cocktail tables,3,18100,1761.1,0,1.4700000286102295,commercial,https://www.baers.com/browse/living-room/ottomans/34?n_-1618748700[]=-1419926398
dining room table round glass,1,5400,1641.6,0,1.5899999141693115,transactional,https://www.baers.com/search/keyword/Round%20Glass%20table%20dining%20room%20sets?kwd=Round+Glass+table+dining+room+sets
furniture coastal,1,5400,1641.6,0,2.2100000381469727,commercial,https://www.baers.com/q/12816293/coastal-living-escape
glass round dining room table,1,5400,1641.6,0,1.5899999141693115,transactional,https://www.baers.com/search/keyword/Round%20Glass%20table%20dining%20room%20sets?kwd=Round+Glass+table+dining+room+sets
leather chair with ottoman,1,5400,1641.6,0,1.9500000476837158,transactional,https://www.baers.com/browse/living-room/chair-and-ottoman-sets/231?n_-1016731037=-1317483307%2c458257623
marble top cocktail tables,1,5400,1641.6,0,1.5099999904632568,commercial,https://www.baers.com/browse/accent-tables/cocktail-tables/76?n_665324823[]=199832886
round glass dinette tables,1,5400,1641.6,0,1.5899999141693115,transactional,https://www.baers.com/search/keyword/Round%20Glass%20table%20dining%20room%20sets?kwd=Round+Glass+table+dining+room+sets
leather accent chairs,2,9900,1603.8,0,3.1500000953674316,transactional,https://www.baers.com/browse/accent-chairs/608?n_-1016731037=-1317483307
