keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
camerich aventura,1,260,79.0,0,128.3000030517578,informational,https://www.camerichmiami.com/
camerich,3,390,37.9,6,16.079999923706055,informational,https://www.camerichmiami.com/
camerich furniture,2,210,34.0,6,5.619999885559082,navigational,https://www.camerichmiami.com/
camerich miami,1,70,21.3,3,6.25,navigational,https://www.camerichmiami.com/
furniture store aventura,5,260,12.2,0,3.7899999618530273,navigational,https://www.camerichmiami.com/
furniture stores aventura,6,260,8.8,0,3.7899999618530273,navigational,https://www.camerichmiami.com/
aventura furniture stores,7,260,6.7,0,3.7899999618530273,navigational,https://www.camerichmiami.com/
damo table lamp,5,110,5.2,0,1.5399999618530273,transactional,https://www.camerichmiami.com/product-page/damo-simple-table-lamp
aventura furniture store,8,260,5.1,0,3.7899999618530273,navigational,https://www.camerichmiami.com/
modern furniture stores in miami florida,7,170,4.4,8,3.9000000953674316,commercial,https://www.camerichmiami.com/
contemporary furniture stores in miami fl,10,170,1.9,0,3.9000000953674316,commercial,https://www.camerichmiami.com/
miami contemporary furniture stores,10,170,1.9,4,3.9000000953674316,navigational,https://www.camerichmiami.com/
modern furniture stores in miami fl,10,170,1.9,8,3.9000000953674316,commercial,https://www.camerichmiami.com/
contemporary furniture miami,5,40,1.9,11,2.619999885559082,navigational,https://www.camerichmiami.com/
damo simple table lamp,5,40,1.9,0,2.069999933242798,transactional,https://www.camerichmiami.com/product-page/damo-simple-table-lamp
camerich echo chair,7,70,1.8,0,2.299999952316284,transactional,https://www.camerichmiami.com/product-page/echo-chair
modern furniture aventura,5,30,1.4,0,4.779999732971191,navigational,https://www.camerichmiami.com/
apollo lamps,8,70,1.4,0,5.199999809265137,navigational,https://www.camerichmiami.com/product-page/apollo-mega-floor-lamp
contemporary furniture in miami,7,40,1.0,0,2.619999885559082,commercial,https://www.camerichmiami.com/
miami modern furniture stores,6,30,1.0,0,10.600000381469727,navigational,https://www.camerichmiami.com/
apollo lamp,10,70,0.8,0,5.199999809265137,transactional,https://www.camerichmiami.com/product-page/apollo-mega-floor-lamp
contemporary furniture miami florida,8,40,0.8,0,2.619999885559082,navigational,https://www.camerichmiami.com/
modern furniture in miami fl,8,40,0.8,8,2.619999885559082,transactional,https://www.camerichmiami.com/
contemporary furniture miami fl,9,40,0.6,0,2.619999885559082,navigational,https://www.camerichmiami.com/
furniture aventura,8,30,0.6,0,3.2899999618530273,navigational,https://www.camerichmiami.com/
modern furniture aventura fl,8,30,0.6,0,4.779999732971191,navigational,https://www.camerichmiami.com/
