keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
furnitures,1,301000,91504,53,2.940000057220459,commercial,https://www.cityfurniture.com/
and furniture stores,2,550000,89100,54,3.2699999809265137,commercial,https://www.cityfurniture.com/
city furniture,1,246000,74784,5,1.5299999713897705,navigational,https://www.cityfurniture.com/
furniture sectional,4,246000,16211.4,0,1.7599999904632568,transactional,https://www.cityfurniture.com/browse/living-room/sectionals
furniture superstore,8,550000,10835,0,3.2699999809265137,navigational,https://www.cityfurniture.com/
value city furniture,8,450000,8865,1,1.7999999523162842,commercial,https://www.cityfurniture.com/
furniture retail chains,2,40500,6561,3,,commercial,https://www.cityfurniture.com/
home furnishing retail stores,5,135000,6331.5,81,1.4199999570846558,commercial,https://www.cityfurniture.com/
couch and sectional,7,246000,6297.6,0,1.7599999904632568,informational,https://www.cityfurniture.com/browse/living-room/sectionals
city furniture near me,1,18100,5502.4,0,2.759999990463257,transactional,https://www.cityfurniture.com/stores
home furnishing retail,6,135000,4563,91,1.4199999570846558,navigational,https://www.cityfurniture.com/
sectional furniture sofa,5,90500,4244.5,2,2.049999952316284,transactional,https://www.cityfurniture.com/browse/living-room/sectionals
sofa and beds,7,165000,4224,0,1.4700000286102295,transactional,https://www.cityfurniture.com/browse/living-room/sleepers
sofa and bed,8,165000,3250.5,0,1.4700000286102295,transactional,https://www.cityfurniture.com/browse/living-room/sleepers
sofa for living area,3,33100,3220.6,2,1.7799999713897705,transactional,https://www.cityfurniture.com/living-room
alton dining,1,9900,3009.6,0,0.8299999833106995,navigational,https://www.cityfurniture.com/product/4070448/alton-light-tone-rect-trestle-table
sectional couch sectional,10,246000,2779.8,0,1.7599999904632568,transactional,https://www.cityfurniture.com/browse/living-room/sectionals
home furnishings retailers,8,135000,2659.5,81,1.4199999570846558,commercial,https://www.cityfurniture.com/
settee with bed,9,165000,2475,16,1.4700000286102295,informational,https://www.cityfurniture.com/browse/living-room/sleepers
central florida furniture stores,1,8100,2462.4,8,3.009999990463257,commercial,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
furniture stores central florida,1,8100,2462.4,8,3.009999990463257,commercial,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
furniture stores in orlando florida,1,8100,2462.4,0,3.009999990463257,commercial,https://www.cityfurniture.com/stores/millenia
furniture and home,4,33100,2181.3,91,1.649999976158142,informational,https://www.cityfurniture.com/
couches for sale,9,135000,2025,0,1.5199999809265137,transactional,https://www.cityfurniture.com/browse/sale
home furnishing retailers,9,135000,2025,81,1.4199999570846558,commercial,https://www.cityfurniture.com/
sofas and couches for sale,9,135000,2025,0,1.5199999809265137,transactional,https://www.cityfurniture.com/browse/sale
shop sectional couch,8,90500,1782.8,0,2.049999952316284,transactional,https://www.cityfurniture.com/browse/living-room/sectionals
couches and tables,6,49500,1673.1,0,1.2400000095367432,transactional,https://www.cityfurniture.com/living-room
couch for sale,10,135000,1525.5,0,1.5199999809265137,transactional,https://www.cityfurniture.com/browse/sale
uph bed,3,14800,1440.0,0,3.0799999237060547,informational,https://www.cityfurniture.com/product/9716455/lucy-taupe-uph-platform-bed
furniture sales fort myers,1,4400,1337.6,1,4,navigational,https://cityfurniture.com/stores/fort-myers
furniture sales sarasota,1,4400,1337.6,0,4.519999980926514,commercial,https://www.cityfurniture.com/stores/sarasota
furniture store miami fl,1,4400,1337.6,0,3.380000114440918,navigational,https://www.cityfurniture.com/stores/midtown-miami
furniture stores in miami fl,1,4400,1337.6,4,3.380000114440918,commercial,https://www.cityfurniture.com/stores/midtown-miami
furniture stores in sarasota florida,1,4400,1337.6,0,4.519999980926514,commercial,https://www.cityfurniture.com/stores/sarasota
furniture stores miami fl,1,4400,1337.6,6,3.380000114440918,commercial,https://www.cityfurniture.com/stores/midtown-miami
furniture stores sarasota fl,1,4400,1337.6,0,4.519999980926514,commercial,https://www.cityfurniture.com/stores/sarasota
miami furniture stores,1,4400,1337.6,0,3.380000114440918,commercial,https://www.cityfurniture.com/stores/midtown-miami
furniture stores central fl,2,8100,1312.2,4,3.009999990463257,commercial,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
end tables for living room,5,27100,1271.0,3,1.4199999570846558,transactional,https://www.cityfurniture.com/browse/living-room/end-tables
couches living room,6,33100,1118.8,11,1.7799999713897705,transactional,https://www.cityfurniture.com/living-room
lounge room sofa,6,33100,1118.8,5,1.7799999713897705,transactional,https://www.cityfurniture.com/living-room
bed and furniture store,1,3600,1094.4,1,3.450000047683716,navigational,https://www.cityfurniture.com/
city furniture in orlando florida,1,3600,1094.4,0,2.3299999237060547,commercial,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
city furniture orlando,1,3600,1094.4,0,2.3299999237060547,navigational,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
city furniture orlando florida,1,3600,1094.4,0,2.3299999237060547,commercial,https://www.cityfurniture.com/stores/orlando-and-central-fl-furniture
city furniture outlet,1,3600,1094.4,0,1.6700000762939453,navigational,https://www.cityfurniture.com/stores/clearance-centers
city furniture sarasota,1,3600,1094.4,0,1.7300000190734863,commercial,https://www.cityfurniture.com/stores/sarasota
furniture sale naples fl,1,3600,1094.4,0,5.710000038146973,transactional,https://www.cityfurniture.com/stores/naples
furniture stores in tampa florida,2,6600,1069.2,0,3.930000066757202,commercial,https://www.cityfurniture.com/stores/tampa-furniture
furnitures stores in tampa,2,6600,1069.2,0,3.930000066757202,commercial,https://www.cityfurniture.com/stores/tampa-furniture
furniture retail chain,7,40500,1036.8,25,,commercial,https://www.cityfurniture.com/
bedroom furniture set king,8,49500,975.2,0,2.109999895095825,transactional,https://www.cityfurniture.com/bedroom
florida king bed,2,5400,874.8,0,2.3899998664855957,transactional,https://www.cityfurniture.com/browse/florida-king-mattresses
sale for furniture,5,18100,848.9,2,2.3899998664855957,transactional,https://www.cityfurniture.com/browse/sale
set for living room,8,40500,797.8,0,1.5099999904632568,informational,https://www.cityfurniture.com/living-room
sectional sofa for sale,6,22200,750.4,0,1.6600000858306885,transactional,https://www.cityfurniture.com/browse/living-room/sectionals
city furniture customer care,1,2400,729.6,0,13.119999885559082,navigational,https://www.cityfurniture.com/help-center
city furniture customer service,1,2400,729.6,0,13.119999885559082,navigational,https://www.cityfurniture.com/help-center
city furniture naples,1,2400,729.6,0,1.9800000190734863,navigational,https://www.cityfurniture.com/stores/naples
city furniture naples fl,1,2400,729.6,0,1.9800000190734863,commercial,https://cityfurniture.com/stores/naples
city furniture plant city,1,2400,729.6,0,1.5399999618530273,navigational,https://www.cityfurniture.com/stores/plant-city
furniture stores in miami florida,2,4400,712.8,2,3.380000114440918,commercial,https://www.cityfurniture.com/stores/midtown-miami
jobs ashley furniture,2,4400,712.8,1,1.159999966621399,navigational,https://jobs.cityfurniture.com/jobs
miami fl furniture stores,2,4400,712.8,0,3.380000114440918,commercial,https://www.cityfurniture.com/stores/midtown-miami
sarasota fl furniture store,2,4400,712.8,0,4.519999980926514,navigational,https://www.cityfurniture.com/stores/sarasota
shopping online for furniture,5,14800,694.1,16,3.1600000858306885,transactional,https://www.cityfurniture.com/
settee on sale,7,27100,693.8,0,1.600000023841858,transactional,https://www.cityfurniture.com/browse/sale
sleeper couch,4,9900,652.4,2,1.8399999141693115,transactional,https://www.cityfurniture.com/browse/living-room/sleepers
settee for living room,8,33100,652.1,8,1.7799999713897705,transactional,https://www.cityfurniture.com/living-room
furniture stores tampa fl,3,6600,642.2,0,3.930000066757202,commercial,https://www.cityfurniture.com/stores/tampa-furniture
online furniture retailer,3,6600,642.2,48,3.8899998664855957,commercial,https://www.cityfurniture.com/
tampa florida furniture stores,3,6600,642.2,4,3.930000066757202,navigational,https://www.cityfurniture.com/stores/tampa-furniture
living room sets living room,9,40500,607.5,0,1.5099999904632568,transactional,https://www.cityfurniture.com/living-room
furniture in naples florida,2,3600,583.2,0,5.710000038146973,commercial,https://cityfurniture.com/stores/naples
furniture stores naples,2,3600,583.2,12,5.710000038146973,commercial,https://cityfurniture.com/stores/naples
city furniture fort myers,1,1900,577.6,0,2.450000047683716,navigational,https://www.cityfurniture.com/stores/fort-myers
city furniture tamarac,1,1900,577.6,0,1.7799999713897705,navigational,https://www.cityfurniture.com/stores/sawgrass
city home,5,12100,567.5,27,2.1700000762939453,navigational,https://www.cityfurniture.com/
sofasale,8,27100,533.9,0,1.600000023841858,transactional,https://www.cityfurniture.com/browse/sale
avocado bed,3,5400,525.4,0,6.179999828338623,transactional,https://www.cityfurniture.com/shop-by-brand/avocado-mattresses
black rectangular,6,14800,500.2,0,0.3499999940395355,informational,https://www.cityfurniture.com/product/1283134/alden-black-rectangular-table
furniture outlet stores tampa,6,14800,500.2,0,3.200000047683716,navigational,https://www.cityfurniture.com/stores/tampa-furniture
whole bedroom sets,6,14800,500.2,0,0.949999988079071,transactional,https://www.cityfurniture.com/bedroom
city furniture clearwater,1,1600,486.4,0,1.3700000047683716,navigational,https://www.cityfurniture.com/stores/clearwater
city furniture florida,1,1600,486.4,0,2.369999885559082,commercial,https://www.cityfurniture.com/
household furnitures,5,9900,464.3,33,1.1100000143051147,transactional,https://www.cityfurniture.com/
home and decor store,10,40500,457.6,61,1.3700000047683716,navigational,https://www.cityfurniture.com/
furniture stores tampa,4,6600,434.9,0,3.930000066757202,commercial,https://www.cityfurniture.com/stores/tampa-furniture
ashley furniture careers,3,4400,428.1,2,1.159999966621399,navigational,https://jobs.cityfurniture.com/jobs
living room sofas on sale,3,4400,428.1,0,1.5299999713897705,transactional,https://www.cityfurniture.com/browse/living-room/sofas
local furniture shops,3,4400,428.1,4,3.200000047683716,commercial,https://www.cityfurniture.com/
city furniture boca raton,1,1300,395.2,0,1.7000000476837158,navigational,https://www.cityfurniture.com/stores/boca-raton
city furniture couches,1,1300,395.2,0,1.4600000381469727,transactional,https://www.cityfurniture.com/browse/living-room/sofas
city furniture locations,1,1300,395.2,0,1.8299999237060547,navigational,https://www.cityfurniture.com/stores
city furniture sofa,1,1300,395.2,0,1.4600000381469727,navigational,https://www.cityfurniture.com/browse/living-room/sofas
city furniture sofas,1,1300,395.2,0,1.4600000381469727,transactional,https://www.cityfurniture.com/browse/living-room/sofas
city furniture store,1,1300,395.2,0,1.8299999237060547,navigational,https://www.cityfurniture.com/
furniture store vero beach florida,1,1300,395.2,0,4.039999961853027,navigational,https://cityfurniture.com/stores/vero-beach
furniture stores vero beach,1,1300,395.2,0,4.039999961853027,navigational,https://cityfurniture.com/stores/vero-beach
