keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
el dorado,6,823000,27817.4,62,0.09000000357627869,informational,https://www.eldoradofurniture.com/
twin bed beds,3,165000,16054.5,0,1.3700000047683716,transactional,https://www.eldoradofurniture.com/beds-and-bedrooms/twin-beds/
el dorado furniture,1,40500,12312,18,0.9800000190734863,navigational,https://www.eldoradofurniture.com/
eldorado furniture,1,40500,12312,13,0.9800000190734863,navigational,https://www.eldoradofurniture.com/
bar furniture with stools,4,165000,10873.5,0,2.4600000381469727,transactional,https://www.eldoradofurniture.com/bars-bar-stools-and-pubs/pub-sets/
tempur pedic,7,165000,4224,10,7.199999809265137,informational,https://www.eldoradofurniture.com/mattresses/tempur-pedic%C2%AE/
tempur-pedic,7,165000,4224,10,7.199999809265137,navigational,https://www.eldoradofurniture.com/mattresses/tempur-pedic%C2%AE/
full size beds,6,110000,3718,0,1.6600000858306885,transactional,https://www.eldoradofurniture.com/beds-and-bedrooms/full-beds/
couch sofa leather,3,33100,3220.6,0,2.990000009536743,transactional,https://www.eldoradofurniture.com/leather-sofa-styles/
sofa and leather,3,33100,3220.6,0,2.990000009536743,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sofas/
sofa for lounge room,3,33100,3220.6,0,1.7799999713897705,transactional,https://www.eldoradofurniture.com/living-rooms/sofas/
el dorado furniture near me,1,9900,3009.6,0,2.4800000190734863,navigational,https://www.eldoradofurniture.com/
el dorado near me,1,9900,3009.6,0,2.4800000190734863,navigational,https://www.eldoradofurniture.com/stores/
leather sectional couch,2,14800,2397.6,0,2.4600000381469727,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
leather sofa and sectionals,2,12100,1960.2,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-sofa-styles/
queen size bed and frame,10,165000,1864.5,0,1.6200000047683716,transactional,https://www.eldoradofurniture.com/beds-and-bedrooms/queen-beds/
leather sectional,4,27100,1785.9,0,2.3499999046325684,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
tempur pedic mattress,7,60500,1548.8,5,8.069999694824219,transactional,https://www.eldoradofurniture.com/mattresses/tempur-pedic%C2%AE/
furniture leather sectional,3,14800,1440.0,0,2.4600000381469727,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
fort myers florida furniture stores,1,4400,1337.6,0,4,navigational,https://www.eldoradofurniture.com/stores/fort-myers/lee/fort-myers-boulevard/
kings beds,8,60500,1191.8,0,3.4000000953674316,transactional,https://www.eldoradofurniture.com/beds-and-bedrooms/king-beds/
sectional furniture leather,3,12100,1177.3,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-sofa-styles/
sectional leather couch,3,12100,1177.3,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-sofa-styles/
sectional leather sofas,3,12100,1177.3,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
dorado furniture,1,3600,1094.4,0,1.1399999856948853,navigational,https://www.eldoradofurniture.com/
chairs and sofas,4,14800,975.3,0,0.9800000190734863,transactional,https://www.eldoradofurniture.com/living-rooms/sofas/
bedroom furniture king,8,49500,975.2,0,2.109999895095825,transactional,https://www.eldoradofurniture.com/beds-and-bedrooms/king-beds/
leather sofa sectionals,3,9900,963.3,0,1.9600000381469727,informational,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
sofas in leather,7,33100,847.4,0,2.990000009536743,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sofas/
leather sofa sectional,4,12100,797.4,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
console mirror table,1,2400,729.6,0,1.0099999904632568,transactional,https://www.eldoradofurniture.com/dex-mirrored-console-table.html
furniture store in florida,1,2400,729.6,0,3.1500000953674316,commercial,https://www.eldoradofurniture.com/
furniture stores in west palm,1,2400,729.6,0,4.130000114440918,commercial,https://www.eldoradofurniture.com/stores/west-palm-beach/palm-beach/west-palm-beach-boulevard/
furniture stores in west palm beach florida,1,2400,729.6,0,4.130000114440918,commercial,https://www.eldoradofurniture.com/stores/west-palm-beach/palm-beach/west-palm-beach-boulevard/
gray sectional leather,1,2400,729.6,0,1.7000000476837158,informational,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
grey leather sectional,1,2400,729.6,0,1.7000000476837158,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
mirror console table,1,2400,729.6,0,1.0099999904632568,transactional,https://www.eldoradofurniture.com/dex-mirrored-console-table.html
gray leather couch,2,4400,712.8,0,1.940000057220459,transactional,https://www.eldoradofurniture.com/grace-gray-leather-sofa-3.html
gray leather sofas,2,4400,712.8,0,1.940000057220459,transactional,https://www.eldoradofurniture.com/grace-gray-leather-sofa-3.html
teenager furniture,2,4400,712.8,8,3.1500000953674316,transactional,https://www.eldoradofurniture.com/kids-and-teens-furniture/full-beds/
teenagers furniture,2,4400,712.8,0,3.1500000953674316,transactional,https://www.eldoradofurniture.com/kids-and-teens-furniture/full-beds/
accessories home furniture,4,9900,652.4,0,0.6700000166893005,transactional,https://www.eldoradofurniture.com/home-d%C3%A9cor-and-accents/decorative-accessories/
home furniture accessories,4,9900,652.4,5,0.6700000166893005,transactional,https://www.eldoradofurniture.com/home-d%C3%A9cor-and-accents/decorative-accessories/
leather reclining armchairs,4,9900,652.4,0,2.069999933242798,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-recliners/
hope sculptures,2,3600,583.2,0,0.4699999988079071,informational,https://www.eldoradofurniture.com/hope-blue-sculpture.html
leather sofa in white,2,3600,583.2,0,1.9200000762939453,transactional,https://www.eldoradofurniture.com/rio-white-leather-sofa.html
leather sofa white,2,3600,583.2,0,1.9200000762939453,transactional,https://www.eldoradofurniture.com/rio-white-leather-sofa.html
white leather couches,2,3600,583.2,0,1.9800000190734863,transactional,https://www.eldoradofurniture.com/rio-white-leather-sofa.html
el dorado outlet,1,1900,577.6,0,2.140000104904175,navigational,https://www.eldoradofurniture.com/stores/miami/miami-dade/furniture-and-mattress-outlet-miller-store/
gold chair,1,1900,577.6,0,1.6200000047683716,transactional,https://www.eldoradofurniture.com/petal-gold-accent-chair.html
yellow chair,1,1900,577.6,0,1.4600000381469727,transactional,https://www.eldoradofurniture.com/cute-yellow-leather-accent-chair.html
home cinema seating,5,12100,567.5,3,7.25,transactional,https://www.eldoradofurniture.com/all-home-theater-seating/
couches and tables,10,49500,559.3,0,1.2400000095367432,transactional,https://www.eldoradofurniture.com/living-rooms/sofas/
leather sectionals sofas,6,14800,500.2,0,2.4600000381469727,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
leather sofa and couch,9,33100,496.5,0,2.990000009536743,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sofas/
dorado furniture outlet,1,1600,486.4,0,1.25,navigational,https://www.eldoradofurniture.com/stores/fort-myers/lee/furniture-and-mattress-outlet-fort-myers-store/
el dorado furniture outlet,1,1600,486.4,0,1.25,navigational,https://www.eldoradofurniture.com/stores/fort-myers/lee/furniture-and-mattress-outlet-fort-myers-store/
el dorado furniture outlet store,1,1600,486.4,0,1.25,navigational,https://www.eldoradofurniture.com/stores/fort-myers/lee/furniture-and-mattress-outlet-fort-myers-store/
el dorado furniture palmetto boulevard,1,1600,486.4,0,5.639999866485596,navigational,https://www.eldoradofurniture.com/stores/miami/miami-dade/palmetto-boulevard/
el.dorado furniture outlet,1,1600,486.4,0,1.25,navigational,https://www.eldoradofurniture.com/stores/miami/miami-dade/furniture-and-mattress-outlet-miller-store/
furniture stores st pete,1,1600,486.4,0,3.259999990463257,commercial,https://www.eldoradofurniture.com/stores/st-petersburg/pinellas/st-petersburg-boulevard/
furniture stores st petersburg,1,1600,486.4,3,3.259999990463257,navigational,https://www.eldoradofurniture.com/stores/st-petersburg/pinellas/st-petersburg-boulevard/
furniture stores st petersburg fl,1,1600,486.4,0,3.259999990463257,navigational,https://www.eldoradofurniture.com/stores/st-petersburg/pinellas/st-petersburg-boulevard/
gold metal console table,1,1600,486.4,0,1.5399999618530273,transactional,https://www.eldoradofurniture.com/lillian-gold-console-table.html
outlet dorado furniture,1,1600,486.4,0,1.25,navigational,https://www.eldoradofurniture.com/stores/fort-myers/lee/furniture-and-mattress-outlet-fort-myers-store/
sleeper couch leather,4,6600,434.9,0,3.059999942779541,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sleepers/
leather sofa couch bed,3,4400,428.1,0,2.240000009536743,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sleepers/
leather sofas sleeper,3,4400,428.1,0,2.240000009536743,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sleepers/
teens furniture,3,4400,428.1,0,3.1500000953674316,transactional,https://www.eldoradofurniture.com/kids-and-teens-furniture/full-beds/
leather sectional sofas,6,12100,409.0,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
leather sofa and sectional,6,12100,409.0,0,2.5999999046325684,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
black leather loveseat,1,1300,395.2,0,2.309999942779541,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-loveseats/
black leather sectional couch,1,1300,395.2,0,1.8899999856948853,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
black leather sectional sofa,1,1300,395.2,0,1.8899999856948853,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
black leather sofa sectional,1,1300,395.2,0,1.8899999856948853,transactional,https://www.eldoradofurniture.com/leather-furniture/leather-sectional-sofas/
el dorado coconut creek,1,1300,395.2,0,1.7599999904632568,informational,https://www.eldoradofurniture.com/stores/coconut-creek/broward/coconut-creek-boulevard/
el dorado furniture kendall,1,1300,395.2,0,1.7200000286102295,navigational,https://www.eldoradofurniture.com/stores/miami/miami-dade/kendall-boulevard/
eldorado coconut creek,1,1300,395.2,0,1.7599999904632568,informational,https://www.eldoradofurniture.com/stores/coconut-creek/broward/coconut-creek-boulevard/
bunk beds white,2,2400,388.8,0,1.440000057220459,transactional,https://www.eldoradofurniture.com/balto-white-twin-bunk-bed-with-storage.html
furniture stores in florida west palm beach,2,2400,388.8,3,4.130000114440918,commercial,https://www.eldoradofurniture.com/stores/west-palm-beach/palm-beach/west-palm-beach-boulevard/
furniture stores in west palm beach,2,2400,388.8,0,4.130000114440918,commercial,https://www.eldoradofurniture.com/stores/west-palm-beach/palm-beach/west-palm-beach-boulevard/
