keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
modern miami furniture,2,1300,210.6,4,3.5799999237060547,commercial,https://habitusfurniture.com/collections/modern-miami
miami modern furniture,2,590,95.6,2,6,navigational,https://habitusfurniture.com/collections/modern-miami
contemporary bedroom,5,1900,89.1,11,3.3899998664855957,informational,https://habitusfurniture.com/blogs/noticias/how-to-design-a-contemporary-style-bedroom-step-by-step-guide
gogo chairs,3,880,85.6,0,1.7300000190734863,transactional,https://habitusfurniture.com/products/gogo-chair-set-of-4
habitus aventura,1,210,63.8,0,2.4700000286102295,informational,https://habitusfurniture.com/pages/habitus-aventura
habitus furniture,1,210,63.8,0,3.9100000858306885,navigational,https://habitusfurniture.com/
habitus doral,1,170,51.7,0,8.289999961853027,informational,https://habitusfurniture.com/
modern miami,4,720,47.4,13,4.230000019073486,informational,https://habitusfurniture.com/collections/modern-miami
paris bar stool,1,140,42.6,0,2.1600000858306885,transactional,https://habitusfurniture.com/products/paris-counter-stool
square mirror coffee table,2,260,42.1,0,0.7799999713897705,transactional,https://habitusfurniture.com/products/reflex-mirrored-square-coffee-table
gogo chair,5,880,41.3,0,1.7300000190734863,transactional,https://habitusfurniture.com/products/gogo-chair-set-of-4
oval concrete table,1,90,27.4,0,2.740000009536743,transactional,https://habitusfurniture.com/products/podium-oval-concrete-dining-table
aventura furniture stores,3,260,25.3,0,3.7899999618530273,navigational,https://habitusfurniture.com/
modern miami furniture store,3,210,20.4,20,3.130000114440918,navigational,https://habitusfurniture.com/collections/modern-miami
modern furniture miami,6,590,19.9,14,6,commercial,https://habitusfurniture.com/collections/modern-miami
furniture store aventura,4,260,17.1,0,3.7899999618530273,navigational,https://habitusfurniture.com/
furniture stores aventura,4,260,17.1,0,3.7899999618530273,navigational,https://habitusfurniture.com/
mirror square table,1,50,15.2,0,0.6100000143051147,transactional,https://habitusfurniture.com/products/reflex-mirrored-square-coffee-table
oval concrete dining table,2,90,14.6,0,3.1600000858306885,transactional,https://habitusfurniture.com/products/podium-oval-concrete-dining-table
contemporary bedroom design,8,720,14.2,12,1.6100000143051147,informational,https://habitusfurniture.com/blogs/noticias/how-to-design-a-contemporary-style-bedroom-step-by-step-guide
emma dining table,4,210,13.8,0,2.1500000953674316,transactional,https://habitusfurniture.com/products/emma-rectangle-dining-table
furniture stores doral fl,4,210,13.8,0,4.869999885559082,commercial,https://habitusfurniture.com/
paris bar stools,3,140,13.6,0,2.1600000858306885,transactional,https://habitusfurniture.com/products/paris-counter-stool
wavy bench,3,140,13.6,0,1.1299999952316284,transactional,https://habitusfurniture.com/products/wavy-bench
concrete oval dining table,2,70,11.3,0,3.4700000286102295,transactional,https://habitusfurniture.com/products/podium-oval-concrete-dining-table
organic shaped sofa,2,70,11.3,0,3.2200000286102295,transactional,https://habitusfurniture.com/products/frag-organic-curved-sofa
soft contemporary,2,70,11.3,0,17.309999465942383,informational,https://habitusfurniture.com/collections/soft-contemporary
furniture doral fl,5,210,9.8,0,3.75,commercial,https://habitusfurniture.com/
modern miami furniture stores,5,210,9.8,3,3.130000114440918,navigational,https://habitusfurniture.com/collections/modern-miami
furniture aventura,1,30,9.1,0,3.2899999618530273,navigational,https://habitusfurniture.com/
furniture in aventura,1,30,9.1,0,3.2899999618530273,navigational,https://habitusfurniture.com/
aventura furniture store,6,260,8.8,0,3.7899999618530273,navigational,https://habitusfurniture.com/
furniture stores aventura fl,6,260,8.8,0,3.7899999618530273,navigational,https://habitusfurniture.com/
natural sofa,6,260,8.8,0,5.980000019073486,transactional,https://habitusfurniture.com/products/grove-xl-sofa
square mirror table,2,50,8.1,0,0.6100000143051147,transactional,https://habitusfurniture.com/products/reflex-mirrored-square-coffee-table
modern furniture stores miami,5,170,8.0,2,3.9000000953674316,navigational,https://habitusfurniture.com/
gogo furniture,8,390,7.7,0,3.140000104904175,navigational,https://habitusfurniture.com/products/gogo-chair-set-of-4
miami furniture modern,2,40,6.5,32,2.619999885559082,navigational,https://habitusfurniture.com/collections/modern-miami
miami contemporary furniture stores,6,170,5.7,4,3.9000000953674316,navigational,https://habitusfurniture.com/collections/modern-miami
modern furniture stores in miami fl,6,170,5.7,8,3.9000000953674316,commercial,https://habitusfurniture.com/collections/modern-miami
modern furniture stores in miami florida,6,170,5.7,8,3.9000000953674316,commercial,https://habitusfurniture.com/collections/modern-miami
funitura,3,50,4.9,1,6.400000095367432,informational,https://habitusfurniture.com/
lecco sectional,2,30,4.9,0,1.5099999904632568,navigational,https://habitusfurniture.com/products/lecco-leather-sectional-sofa
modern furniture aventura,2,30,4.9,0,4.779999732971191,navigational,https://habitusfurniture.com/
modern furniture aventura fl,2,30,4.9,0,4.779999732971191,navigational,https://habitusfurniture.com/
square mirrored dining table,2,30,4.9,0,0.3100000023841858,transactional,https://habitusfurniture.com/products/reflex-mirrored-square-coffee-table
varenna leather,2,30,4.9,0,,informational,https://habitusfurniture.com/products/copy-of-varenna-leather-motion-sectional-sofa
sofa rain,6,140,4.7,0,,transactional,https://habitusfurniture.com/products/rain-sofa
organic shape sofa,4,70,4.6,0,3.2200000286102295,transactional,https://habitusfurniture.com/products/frag-organic-curved-sofa
natural lounge chair,3,40,3.9,0,0.949999988079071,transactional,https://habitusfurniture.com/products/drummond-lounge-chair-natural
taupe lounge chair,3,40,3.9,0,2.180000066757202,transactional,https://habitusfurniture.com/products/tortona-mushroom-taupe-lounge-chair
tube mirror,3,40,3.9,0,0.25,transactional,https://habitusfurniture.com/products/tube-floor-mirror
contemporary media storage,7,140,3.6,0,2.4700000286102295,informational,https://habitusfurniture.com/collections/media-storage
contemporary furniture stores in miami fl,8,170,3.3,0,3.9000000953674316,commercial,https://habitusfurniture.com/collections/modern-miami
elephant print chair,4,50,3.3,0,0.6299999952316284,transactional,https://habitusfurniture.com/products/elephant-lounge-chair
miami luxury furniture,5,70,3.3,0,4.059999942779541,navigational,https://habitusfurniture.com/collections/modern-miami
soft contemporary interior design,6,90,3.0,0,1.4300000667572021,commercial,https://habitusfurniture.com/collections/soft-contemporary
furniture aventura florida,3,30,2.9,0,3.2899999618530273,navigational,https://habitusfurniture.com/
south florida modern furniture,3,30,2.9,0,2.9800000190734863,commercial,https://habitusfurniture.com/
miami modern,9,170,2.5,10,5.119999885559082,navigational,https://habitusfurniture.com/collections/modern-miami
uultis miami,9,170,2.5,0,13.949999809265137,navigational,https://habitusfurniture.com/collections/modern-miami
luxury furniture in miami,6,70,2.4,0,4.059999942779541,commercial,https://habitusfurniture.com/collections/modern-miami
miami modern furniture stores,4,30,2.0,0,10.600000381469727,navigational,https://habitusfurniture.com/collections/modern-miami
miami style furniture,4,30,2.0,2,3.7699999809265137,commercial,https://habitusfurniture.com/collections/modern-miami
contemporary furniture in miami,5,40,1.9,0,2.619999885559082,commercial,https://habitusfurniture.com/collections/modern-miami
contemporary furniture miami florida,5,40,1.9,0,2.619999885559082,navigational,https://habitusfurniture.com/
scandinavian contemporary furniture,5,40,1.9,0,2.069999933242798,navigational,https://habitusfurniture.com/collections/pure-scandinavian
