keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
italo design miami,1,480,145.9,0,10.609999656677246,navigational,https://italodesignusa.com/
italian design,3,1000,97.3,0,1.159999966621399,informational,https://italodesignusa.com/
italo design,1,210,63.8,1,7.099999904632568,navigational,https://italodesignusa.com/
wall beds miami,2,170,27.5,0,7.309999942779541,transactional,https://italodesignusa.com/categoria/wall-beds/
italian furniture miami,1,90,27.4,0,3.0299999713897705,commercial,https://italodesignusa.com/
italian furniture in miami,2,90,14.6,0,3.0299999713897705,commercial,https://italodesignusa.com/
miami italian furniture,2,90,14.6,13,3.0299999713897705,commercial,https://italodesignusa.com/
conte furniture italy,10,1000,11.3,0,3.990000009536743,navigational,https://italodesignusa.com/etiqueta/conte/
italo design miami photos,1,30,9.1,0,,navigational,https://italodesignusa.com/categoria/dining/
design italia,3,90,8.8,12,,navigational,https://italodesignusa.com/
mueblerias italianas,3,70,6.8,5,0.9599999785423279,commercial,https://italodesignusa.com/
italo home,4,90,5.9,0,2.1500000953674316,navigational,https://italodesignusa.com/
design furniture italy,7,210,5.4,7,3.6500000953674316,navigational,https://italodesignusa.com/
italian design furniture,7,210,5.4,0,3.6500000953674316,commercial,https://italodesignusa.com/
reflex angelo,5,110,5.2,0,,informational,https://italodesignusa.com/etiqueta/reflex-angelo/
italo design miami reviews,4,70,4.6,0,3.619999885559082,informational,https://italodesignusa.com/categoria/dining/
italo home glassware,3,30,2.9,0,0.019999999552965164,navigational,https://italodesignusa.com/materials/glass/
italian furniture miami fl,7,90,2.3,0,3.0299999713897705,commercial,https://italodesignusa.com/
italian home furnishings,4,30,2.0,0,3.130000114440918,commercial,https://italodesignusa.com/
designer furniture italy,10,170,1.9,1,2.8499999046325684,navigational,https://italodesignusa.com/
italian furniture store miami,5,30,1.4,0,3.430000066757202,navigational,https://italodesignusa.com/
italian furniture stores in miami,5,30,1.4,0,3.430000066757202,commercial,https://italodesignusa.com/
tonin casa usa,5,30,1.4,0,,navigational,https://italodesignusa.com/etiqueta/tonin-casa/
tonin casa,10,110,1.2,7,1.7899999618530273,navigational,https://italodesignusa.com/etiqueta/tonin-casa/
tumidei,8,50,1.0,0,,informational,https://italodesignusa.com/etiqueta/tumidei/
calligaris miami,10,70,0.8,8,0.1599999964237213,navigational,https://italodesignusa.com/etiqueta/calligaris/
italian furniture stores miami,8,30,0.6,0,3.430000066757202,commercial,https://italodesignusa.com/
il loft furniture,10,30,0.3,0,7.269999980926514,navigational,https://italodesignusa.com/etiqueta/illoft/
tonin casa furniture,10,30,0.3,2,1.6700000762939453,navigational,https://italodesignusa.com/etiqueta/tonin-casa/
