keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
contemporary white dresser,1,6600,2006.4,0,2.6500000953674316,transactional,https://www.mh2g.com/Dressers-s/225.htm
white chest of drawers contemporary,2,6600,1069.2,0,2.6500000953674316,transactional,https://www.mh2g.com/Dressers-s/225.htm
white contemporary dresser,2,6600,1069.2,0,2.6500000953674316,transactional,https://www.mh2g.com/Dressers-s/225.htm
modern white dresser,3,6600,642.2,0,2.6500000953674316,transactional,https://www.mh2g.com/Dressers-s/225.htm
wallpaper installation pricing,3,3600,350.3,0,4.460000038146973,commercial,https://www.mh2g.com/product-p/wpi-r.htm
mh2g furniture doral,1,880,267.5,0,5.809999942779541,navigational,https://www.mh2g.com/
wallpaper installation cost,4,3600,237.2,0,4.460000038146973,commercial,https://www.mh2g.com/product-p/wpi-r.htm
wallpaper installation prices,4,3600,237.2,0,4.460000038146973,commercial,https://www.mh2g.com/product-p/wpi-r.htm
mh2g furniture fort lauderdale,1,720,218.9,1,3.8899998664855957,navigational,https://www.mh2g.com/
sofa store miami,6,4400,148.7,2,3.380000114440918,transactional,https://www.mh2g.com/
modern miami furniture,3,1300,126.5,4,3.5799999237060547,commercial,https://www.mh2g.com/
furniture shop miami,7,4400,112.6,0,3.380000114440918,navigational,https://www.mh2g.com/
miami fl furniture stores,7,4400,112.6,0,3.380000114440918,commercial,https://www.mh2g.com/
white egg chair,1,320,97.3,0,1.3799999952316284,transactional,https://www.mh2g.com/Egg-Chair-Outdoor-White-p/olf18400-001.htm
modern furniture miami,2,590,95.6,14,6,commercial,https://www.mh2g.com/
mh2g,1,260,79.0,1,4.929999828338623,informational,https://www.mh2g.com/
mh2g furniture,1,260,79.0,10,4.329999923706055,navigational,https://www.mh2g.com/
wall television stand,7,2900,74.2,0,0.6800000071525574,transactional,https://www.mh2g.com/Media-Wall-Units-s/91.htm
sectional couch types,2,390,63.2,0,1.2300000190734863,informational,https://www.mh2g.com/types-of-sectional-sofas-a/326.htm
grass ball,2,320,51.8,0,0.6700000166893005,informational,https://www.mh2g.com/Grass-Ball-Collection-p/tt-10065.htm
fort lauderdale furniture stores,7,1900,48.6,0,3.8299999237060547,navigational,https://www.mh2g.com/
kinds of furniture,9,2900,43.5,5,1.2100000381469727,informational,https://www.mh2g.com/a-guide-to-all-types-of-furniture-styles-a/295.htm
furniture store aventura,2,260,42.1,0,3.7899999618530273,navigational,https://www.mh2g.com/modern-furniture-aventura-s/332.htm
furniture stores aventura,2,260,42.1,0,3.7899999618530273,navigational,https://www.mh2g.com/modern-furniture-aventura-s/332.htm
jati console table,3,390,37.9,0,0.41999998688697815,transactional,https://www.mh2g.com/Root-Modern-Console-Jati-with-tempered-glass-Top-p/dta158001.htm
sectional types,2,210,34.0,0,1.340000033378601,informational,https://www.mh2g.com/types-of-sectional-sofas-a/326.htm
contemporary furniture in fort lauderdale,1,110,33.4,0,5.75,commercial,https://www.mh2g.com/
fort lauderdale modern furniture,1,110,33.4,0,5.75,navigational,https://www.mh2g.com/
mh2g doral,1,110,33.4,0,8.6899995803833,informational,https://www.mh2g.com/
modern furniture fort lauderdale fl,1,110,33.4,0,5.75,commercial,https://www.mh2g.com/
modern furniture fort lauderdale florida,1,110,33.4,0,5.75,commercial,https://www.mh2g.com/
modern furniture in fort lauderdale,1,110,33.4,0,5.75,commercial,https://www.mh2g.com/
contemporary home decor accessories,7,1300,33.3,0,2.059999942779541,transactional,https://www.mh2g.com/Decorative-s/82.htm
wallpaper installation cost per square foot,4,480,31.6,0,3.6100001335144043,informational,https://www.mh2g.com/product-p/wpi-r.htm
brushed nickel lamps,3,320,31.1,0,1.4600000381469727,transactional,https://www.mh2g.com/Brushed-Nickel-Modern-Table-Lamp-p/utt-10046-001.htm
egg chairs white,3,320,31.1,0,1.3799999952316284,transactional,https://www.mh2g.com/Egg-Chair-Outdoor-White-p/olf18400-001.htm
furniture in miami florida,6,880,29.7,0,5.429999828338623,commercial,https://www.mh2g.com/
