keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
and coffee tables,1,246000,74784,0,1.4600000381469727,commercial,https://modani.com/collections/coffee-side-tables
sofa,1,201000,61104,5,1.9500000476837158,transactional,https://modani.com/collections/sofas
beds,2,368000,59616,17,3.619999885559082,transactional,https://modani.com/collections/beds
dining furniture table,1,135000,41040,0,1.9100000858306885,transactional,https://modani.com/collections/dining-tables
coffee tables,2,246000,39852,0,1.4600000381469727,transactional,https://modani.com/collections/coffee-side-tables
couch,6,550000,18590,36,1.809999942779541,transactional,https://modani.com/collections/sofas
modern furniture,1,60500,18392,11,4.059999942779541,transactional,https://modani.com/collections/living
modern furnitures,1,60500,18392,6,4.059999942779541,transactional,https://modani.com/collections/living
chairs for dining,2,90500,14661,0,2.509999990463257,transactional,https://modani.com/collections/dining-chairs
bed,6,368000,12438.4,3,3.619999885559082,informational,https://modani.com/collections/beds
cocktail table modern,1,33100,10062.4,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
coffee table contemporary,1,33100,10062.4,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
coffee table modern style,1,33100,10062.4,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
modern coffee tables,1,33100,10062.4,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
chair dining chair,3,90500,8805.7,0,2.509999990463257,transactional,https://modani.com/collections/dining-chairs
living room couch sofa,2,33100,5362.2,0,1.7799999713897705,transactional,https://modani.com/collections/sofas
modern coffee table,2,33100,5362.2,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
furnitures in bedroom,4,74000,4876.6,0,2.4600000381469727,transactional,https://modani.com/collections/bedroom
chairs dining room modern,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
contemporary chairs dining,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
contemporary dining room chairs,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
dining contemporary chairs,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
dining room chairs contemporary,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
dining room table modern,1,14800,4499.2,0,2.2799999713897705,transactional,https://modani.com/collections/dining-tables
modani furniture,1,14800,4499.2,3,2.6100001335144043,navigational,https://modani.com/
modern chairs dining room,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
modern dining arm chair,1,14800,4499.2,0,3.0799999237060547,transactional,https://modani.com/collections/dining-chairs
table modern,1,14800,4499.2,0,2.2799999713897705,transactional,https://modani.com/collections/dining-tables
coffee tables for living room,1,12100,3678.4,16,1.5,transactional,https://modani.com/collections/coffee-side-tables
contemporary king bed,1,12100,3678.4,0,3.1600000858306885,transactional,https://modani.com/collections/beds
contemporary king size bed,1,12100,3678.4,0,3.1600000858306885,transactional,https://modani.com/collections/beds
contemporary king size beds,1,12100,3678.4,0,3.1600000858306885,transactional,https://modani.com/collections/beds
contemporary living room furniture,1,12100,3678.4,0,2.1700000762939453,transactional,https://modani.com/collections/living
dining table in marble,1,12100,3678.4,0,2.130000114440918,transactional,https://modani.com/collections/modern-marble-dining-tables
king bed contemporary,1,12100,3678.4,0,3.1600000858306885,transactional,https://modani.com/collections/beds
living room modern sofa,1,12100,3678.4,0,2.1700000762939453,transactional,https://modani.com/collections/sofas
modern bedroom frame,1,12100,3678.4,3,3.1700000762939453,transactional,https://modani.com/collections/beds
modern couch for living room,1,12100,3678.4,0,2.1700000762939453,transactional,https://modani.com/collections/sofas
modern king size bed,1,12100,3678.4,0,3.1600000858306885,transactional,https://modani.com/collections/beds
modern sofa,1,12100,3678.4,0,3.319999933242798,transactional,https://modani.com/collections/sofas
modern style furniture stores,1,12100,3678.4,2,4.300000190734863,commercial,https://modani.com/collections/living
modern style sofa,1,12100,3678.4,0,3.319999933242798,transactional,https://modani.com/collections/sofas
modernist sofa,1,12100,3678.4,0,3.319999933242798,transactional,https://modani.com/collections/sofas
contemporary furniture,5,74000,3470.6,0,3.069999933242798,commercial,https://modani.com/collections/living
contemporary cocktail table,3,33100,3220.6,0,1.8700000047683716,transactional,https://modani.com/collections/coffee-side-tables
modern cocktail table,3,33100,3220.6,0,1.8700000047683716,informational,https://modani.com/collections/coffee-side-tables
sofa couch for living room,3,33100,3220.6,0,1.7799999713897705,transactional,https://modani.com/collections/sofas
sofa couch living room,3,33100,3220.6,0,1.7799999713897705,transactional,https://modani.com/collections/sofas
coffee table travertine,1,9900,3009.6,0,2.2200000286102295,transactional,https://modani.com/products/terra-coffee-table-travertine
modani,1,9900,3009.6,2,3.3399999141693115,informational,https://modani.com/
modern couches,1,9900,3009.6,0,2.799999952316284,transactional,https://modani.com/collections/sofas
sofas green,1,9900,3009.6,0,2.4100000858306885,transactional,https://modani.com/collections/green-sofas
extendable dining table,4,40500,2668.9,14,2.430000066757202,transactional,https://modani.com/collections/modern-extendable-dining-tables
bedside table contemporary,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
contemporary bedroom dresser,1,8100,2462.4,0,2.4000000953674316,transactional,https://modani.com/collections/dressers
contemporary modern bedside tables,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
contemporary night table,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
contemporary sectional couch,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
contemporary sectional couches,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
contemporary sectional sofa,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
contemporary sofa sectional,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
dresser contemporary,1,8100,2462.4,0,2.140000104904175,transactional,https://modani.com/collections/dressers
modern contemporary nightstand,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
modern contemporary nightstands,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
modern furniture sectional,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
modern night table,1,8100,2462.4,0,2.190000057220459,informational,https://modani.com/collections/nightstands-side-tables
modern sectional couch,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
modern sectional furniture,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
modern sectional sofa,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/modern-sectional-sofas
modern style desks,1,8100,2462.4,0,3.2699999809265137,transactional,https://modani.com/collections/office-desks
night table modern,1,8100,2462.4,0,2.190000057220459,transactional,https://modani.com/collections/nightstands-side-tables
outdoor modern garden furniture,1,8100,2462.4,0,5.75,transactional,https://modani.com/collections/outdoor
patio modern furniture,1,8100,2462.4,0,5.75,transactional,https://modani.com/collections/outdoor
