keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
modern coffee table,1,33100,10062.4,0,1.8700000047683716,transactional,https://www.modernmiami.com/living-room/coffee-tables.html
coffee table contemporary,2,33100,5362.2,0,1.8700000047683716,transactional,https://www.modernmiami.com/living-room/coffee-tables.html
coffee table modern style,2,33100,5362.2,0,1.8700000047683716,transactional,https://www.modernmiami.com/living-room/coffee-tables.html
modern coffee tables,2,33100,5362.2,0,1.8700000047683716,transactional,https://www.modernmiami.com/living-room/coffee-tables.html
marble table dining room,1,12100,3678.4,0,2.130000114440918,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--marble.html
glass dining table,1,9900,3009.6,0,1.5899999141693115,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--glass.html
glass tables dining,1,9900,3009.6,0,1.5899999141693115,informational,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--glass.html
kitchen glass table,1,9900,3009.6,0,1.5899999141693115,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--glass.html
modern bed sets,1,9900,3009.6,0,2.5199999809265137,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
modern style bedroom set,1,9900,3009.6,0,2.5199999809265137,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
tv stand contemporary,2,18100,2932.2,0,1.7100000381469727,transactional,https://www.modernmiami.com/living-room/entertainment-center.html
bedside tables contemporary,1,8100,2462.4,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
contemporary bedside cabinets,1,8100,2462.4,1,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
contemporary bedside tables,1,8100,2462.4,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
contemporary nightstand,1,8100,2462.4,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
modern contemporary bedside tables,1,8100,2462.4,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
black cocktail table,2,14800,2397.6,0,1.6399999856948853,transactional,https://www.modernmiami.com/living-room/coffee-tables/shopby/color--black.html
bedroom set modern,1,6600,2006.4,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
contemporary bedroom set,1,6600,2006.4,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
contemporary bedroom sets,1,6600,2006.4,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
dining table in marble,2,12100,1960.2,0,2.130000114440918,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--marble.html
marble tables dining room,2,12100,1960.2,0,2.130000114440918,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--marble.html
modern bedroom frame,2,12100,1960.2,3,3.1700000762939453,transactional,https://www.modernmiami.com/bedroom/modern-beds.html
white bed,2,12100,1960.2,0,1.5499999523162842,informational,https://www.modernmiami.com/bedroom/modern-beds/shopby/color--white.html
bedroom furniture set modern,1,5400,1641.6,0,3.2300000190734863,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
bedroom modern set,1,5400,1641.6,0,3.2300000190734863,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
contemporary bedroom furniture set,1,5400,1641.6,0,3.2300000190734863,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
contemporary bedroom furniture sets,1,5400,1641.6,0,3.2300000190734863,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
white sofas,1,5400,1641.6,0,2.009999990463257,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/color--white.html
glass dinette table,2,9900,1603.8,0,1.5899999141693115,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--glass.html
glass dining tables,2,9900,1603.8,0,1.5899999141693115,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/finish--glass.html
modern bedroom sets,2,9900,1603.8,0,2.5199999809265137,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
modern style bedroom sets,2,9900,1603.8,0,2.5199999809265137,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
concrete coffee table,1,4400,1337.6,0,2.3499999046325684,transactional,https://www.modernmiami.com/living-room/coffee-tables/shopby/finish--concrete.html
contemporary round dining room tables,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
contemporary round kitchen tables,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
furniture shop miami,1,4400,1337.6,0,3.380000114440918,navigational,https://www.modernmiami.com/
modern dining room round table,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
modern round dining room table,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
modern round dining table,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
modern round table,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
round contemporary dining room tables,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
round modern kitchen tables,1,4400,1337.6,0,2.450000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/shape--round.html
sofa store miami,1,4400,1337.6,2,3.380000114440918,transactional,https://www.modernmiami.com/
white dining arm chair,1,4400,1337.6,0,2.299999952316284,transactional,https://www.modernmiami.com/dining-room/dining-chairs/shopby/color--white--off-white.html
bedroom dresser contemporary,2,8100,1312.2,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
bedside table contemporary,2,8100,1312.2,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
contemporary bedroom dresser,2,8100,1312.2,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
contemporary modern bedside tables,2,8100,1312.2,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
dresser contemporary,2,8100,1312.2,0,2.140000104904175,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
dressers contemporary,2,8100,1312.2,0,2.140000104904175,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
modern chest of drawers for bedroom,2,8100,1312.2,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
nightstands contemporary,2,8100,1312.2,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
modern furniture tv stands,4,18100,1192.8,0,1.7100000381469727,transactional,https://www.modernmiami.com/living-room/entertainment-center.html
modern bed frame,3,12100,1177.3,9,3.1700000762939453,transactional,https://www.modernmiami.com/bedroom/modern-beds.html
black contemporary coffee table,1,3600,1094.4,0,2.430000066757202,transactional,https://www.modernmiami.com/living-room/coffee-tables/shopby/color--black.html
modern sofas with recliners,1,3600,1094.4,0,2.6100001335144043,transactional,https://www.modernmiami.com/living-room/recliners/reclining-sofas.html
bedroom sets modern,2,6600,1069.2,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
contemporary bed set,2,6600,1069.2,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
modern bedroom furniture,2,6600,1069.2,0,3.0299999713897705,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
gray bed,1,2900,881.6,0,1.5199999809265137,transactional,https://www.modernmiami.com/bedroom/modern-beds/shopby/color--grey.html
gray beds,1,2900,881.6,0,1.5199999809265137,transactional,https://www.modernmiami.com/bedroom/modern-beds/shopby/color--grey.html
beige bedroom sets,2,5400,874.8,0,1.3799999952316284,transactional,https://www.modernmiami.com/bedroom/shopby/color--beige.html
contemporary leather couch,2,5400,874.8,0,3.9200000762939453,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/texture--leather.html
contemporary leather sofa,2,5400,874.8,0,3.9200000762939453,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/texture--leather.html
dining room white table,2,5400,874.8,0,1.6200000047683716,transactional,https://www.modernmiami.com/dining-room/modern-dining/shopby/color--white.html
leather couch contemporary,2,5400,874.8,0,3.9200000762939453,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/texture--leather.html
leather furniture modern,2,5400,874.8,0,3.9200000762939453,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/texture--leather.html
modern bedroom collection,2,5400,874.8,0,3.2300000190734863,informational,https://www.modernmiami.com/bedroom/bedroom-sets.html
modern bedroom furniture sets,2,5400,874.8,0,3.2300000190734863,transactional,https://www.modernmiami.com/bedroom/bedroom-sets.html
white sofa couch,2,5400,874.8,0,2.009999990463257,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/color--white.html
contemporary king size beds,4,12100,797.4,0,3.1600000858306885,transactional,https://www.modernmiami.com/bedroom/modern-beds/shopby/bed-size--california-king.html
modern furniture for living rooms,4,12100,797.4,1,2.1700000762939453,transactional,https://www.modernmiami.com/living-room.html
contemporary bed side table,3,8100,788.1,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
contemporary night table,3,8100,788.1,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
modern bedroom dresser,3,8100,788.1,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
modern dresser for bedroom,3,8100,788.1,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
modern room dresser,3,8100,788.1,0,2.4000000953674316,transactional,https://www.modernmiami.com/bedroom/dressers-chests.html
nightstand contemporary,3,8100,788.1,0,2.190000057220459,transactional,https://www.modernmiami.com/bedroom/nightstands.html
brown dining chair,1,2400,729.6,0,2.2100000381469727,transactional,https://www.modernmiami.com/dining-room/dining-chairs/shopby/color--brown.html
coffee table modern,1,2400,729.6,0,1.4199999570846558,transactional,https://www.modernmiami.com/living-room/coffee-tables.html
dining room chairs brown,1,2400,729.6,0,2.2100000381469727,transactional,https://www.modernmiami.com/dining-room/dining-chairs/shopby/color--brown.html
modern king bedroom sets,1,2400,729.6,0,2.450000047683716,transactional,https://www.modernmiami.com/bedroom/shopby/bed-size--california-king.html
california king bedroom furniture,2,4400,712.8,0,2.0399999618530273,transactional,https://www.modernmiami.com/bedroom/shopby/bed-size--california-king.html
california king bedroom furniture set,2,4400,712.8,0,2.0399999618530273,transactional,https://www.modernmiami.com/bedroom/shopby/bed-size--california-king.html
dining chairs white,2,4400,712.8,0,2.299999952316284,transactional,https://www.modernmiami.com/dining-room/dining-chairs/shopby/color--white--off-white.html
light grey sofa,2,4400,712.8,0,1.5199999809265137,transactional,https://www.modernmiami.com/living-room/modern-sofa/shopby/color--light-grey.html
