keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
table console,3,110000,10703,0,1.600000023841858,transactional,https://www.scandesign.com/collections/console-tables
dining chairs contemporary,1,14800,4499.2,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
contemporary console table,1,12100,3678.4,4,2.130000114440918,transactional,https://www.scandesign.com/collections/console-tables
bar stools contemporary,1,9900,3009.6,0,3.240000009536743,transactional,https://www.scandesign.com/collections/kitchen-bar
accent chair modern style,2,18100,2932.2,0,2.0999999046325684,transactional,https://www.scandesign.com/collections/accent-chairs
contemporary accent chairs,2,18100,2932.2,0,2.0999999046325684,transactional,https://www.scandesign.com/collections/accent-chairs
contemporary dresser for bedroom,1,8100,2462.4,0,2.4000000953674316,transactional,https://www.scandesign.com/collections/dressers-chests
scan design,1,8100,2462.4,5,2.9000000953674316,commercial,https://www.scandesign.com/
contemporary chairs dining,2,14800,2397.6,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
contemporary dining room chairs,2,14800,2397.6,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
dining contemporary chairs,2,14800,2397.6,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
dining room chairs contemporary,2,14800,2397.6,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
modern table console,2,12100,1960.2,0,2.130000114440918,transactional,https://www.scandesign.com/collections/console-tables
scan design furniture,1,5400,1641.6,0,2.2899999618530273,informational,https://www.scandesign.com/collections/furniture
leather dining armchairs,2,9900,1603.8,0,3.0299999713897705,transactional,https://www.scandesign.com/collections/dining-chairs/leather
dining room chairs walnut,1,4400,1337.6,0,3.5299999713897705,navigational,https://www.scandesign.com/collections/dining-room/walnut
platform queen size bed,2,8100,1312.2,0,1.7699999809265137,transactional,https://www.scandesign.com/collections/beds/queen-size
entryway table contemporary,3,12100,1177.3,6,1.6600000858306885,transactional,https://www.scandesign.com/collections/console-tables
sideboard walnut,1,3600,1094.4,0,2.5399999618530273,transactional,https://www.scandesign.com/products/nordic-sideboard-walnut
sofa table contemporary,1,2900,881.6,0,2,transactional,https://www.scandesign.com/collections/console-tables
accent chairs blue,2,5400,874.8,0,2.0299999713897705,transactional,https://www.scandesign.com/collections/accent-chairs/blue
contemporary counter stools,2,5400,874.8,0,4.579999923706055,transactional,https://www.scandesign.com/collections/kitchen-bar
counter stools contemporary,2,5400,874.8,0,4.579999923706055,transactional,https://www.scandesign.com/collections/kitchen-bar
contemporary dining chairs black,1,2400,729.6,0,3.1700000762939453,transactional,https://www.scandesign.com/collections/dining-chairs/black
modern chairs dining room,5,14800,694.1,0,3.0799999237060547,transactional,https://www.scandesign.com/collections/dining-chairs
modern dining room chairs,1,1900,577.6,0,2.9000000953674316,transactional,https://www.scandesign.com/collections/dining-chairs
nordic dining table,1,1900,577.6,0,2.3299999237060547,transactional,https://www.scandesign.com/products/nordic-dining-table-walnut
dressers contemporary,4,8100,533.8,0,2.140000104904175,transactional,https://www.scandesign.com/collections/dressers-chests
leather furniture modern,3,5400,525.4,0,3.9200000762939453,transactional,https://www.scandesign.com/collections/sofa-sectionals/leather
modern leather couch,3,5400,525.4,0,3.9200000762939453,transactional,https://www.scandesign.com/collections/sofa-sectionals/leather
modern leather couches,3,5400,525.4,0,3.9200000762939453,transactional,https://www.scandesign.com/collections/sofa-sectionals/leather
round contemporary coffee table,3,5400,525.4,0,1.6200000047683716,transactional,https://www.scandesign.com/collections/living-room-tables/round
contemporary accent chairs for living room,1,1600,486.4,0,2.430000066757202,commercial,https://www.scandesign.com/collections/accent-chairs
contemporary chest of drawers,1,1600,486.4,0,2.2300000190734863,transactional,https://www.scandesign.com/collections/dressers-chests
modern contemporary dining chair,1,1600,486.4,0,2.5899999141693115,transactional,https://www.scandesign.com/collections/dining-chairs
mr n led table lamp,1,1600,486.4,0,2.0799999237060547,transactional,https://www.scandesign.com/products/mr-n-table-lamp
mr n table lamp,1,1600,486.4,0,2.0799999237060547,transactional,https://www.scandesign.com/products/mr-n-table-lamp
contemporary sleeper sofa,2,2900,469.8,0,4.760000228881836,transactional,https://www.scandesign.com/collections/sleepers-daybeds
contemporary sofa sleeper,2,2900,469.8,2,3.180000066757202,transactional,https://www.scandesign.com/collections/sleepers-daybeds
glass contemporary coffee table,2,2900,469.8,0,1.600000023841858,transactional,https://www.scandesign.com/collections/living-room-tables/glass
modern coffee table glass,2,2900,469.8,0,1.600000023841858,transactional,https://www.scandesign.com/collections/living-room-tables/glass
modern sofa table,2,2900,469.8,0,2,transactional,https://www.scandesign.com/collections/console-tables
furniture fabric cleaner,4,6600,434.9,4,1.6700000762939453,transactional,https://www.scandesign.com/products/fabric-cleaner
