keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
new york sofa,3,1300,126.5,0,4.079999923706055,transactional,https://telaitalianfurniture.com/product/new-york-2-seater/
italian furniture store,2,590,95.6,11,2.9100000858306885,navigational,https://telaitalianfurniture.com/
cuscini,1,210,63.8,0,0.38999998569488525,transactional,https://telaitalianfurniture.com/product/cuscini-pillow/
chaise lounge recliner sofa,2,390,63.2,0,2.190000057220459,transactional,https://telaitalianfurniture.com/product/demeter-sofa-with-chaise-lounge-recliner-options/
sofas de tela,1,140,42.6,0,0.9700000286102295,transactional,https://telaitalianfurniture.com/product-category/sofas/
sofás de tela,1,140,42.6,0,0.9700000286102295,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian furniture leather,10,3600,40.7,0,2.5199999809265137,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian furniture shop,4,590,38.9,10,2.9100000858306885,navigational,https://telaitalianfurniture.com/
recliner sofa with chaise lounge,3,390,37.9,0,2.190000057220459,navigational,https://telaitalianfurniture.com/product/demeter-sofa-with-chaise-lounge-recliner-options/
ital sofa,8,1900,37.4,0,2.5199999809265137,transactional,https://telaitalianfurniture.com/product-category/sofas/
tela italian,1,110,33.4,0,1.8799999952316284,transactional,https://telaitalianfurniture.com/
tela italian furniture,1,110,33.4,0,2.450000047683716,transactional,https://telaitalianfurniture.com/
italy furniture store,5,590,27.7,2,2.9100000858306885,navigational,https://telaitalianfurniture.com/
esse lounge chair,2,110,17.8,0,0.8600000143051147,transactional,https://telaitalianfurniture.com/product/esse-lounge-armchair/
italian leather reclining couch,3,170,16.5,0,3.0899999141693115,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
hoop coffee table,1,50,15.2,0,0.8399999737739563,transactional,https://telaitalianfurniture.com/product/hoop-coffee-table/
italian sofa recliner,1,50,15.2,0,3.4200000762939453,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
tela sofa,1,50,15.2,0,7.349999904632568,transactional,https://telaitalianfurniture.com/product-category/sofas/
telas sofas,1,50,15.2,0,7.349999904632568,transactional,https://telaitalianfurniture.com/product-category/sofas/
furniture italia store,7,590,15.1,0,2.9100000858306885,navigational,https://telaitalianfurniture.com/
italia furniture store,7,590,15.1,7,2.9100000858306885,navigational,https://telaitalianfurniture.com/
tiffany sofa,2,70,11.3,0,1.9100000858306885,transactional,https://telaitalianfurniture.com/product/tiffany-sectional-sofa/
italian leather reclining sofa,4,170,11.2,0,3.0899999141693115,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
dillon sofa dfs,4,140,9.2,0,1.2300000190734863,transactional,https://telaitalianfurniture.com/product/dillon-modular-sofa-power-recliner-options/
tela furniture,1,30,9.1,0,2.25,transactional,https://telaitalianfurniture.com/
tela italian furniture reviews,1,30,9.1,0,2.5799999237060547,informational,https://telaitalianfurniture.com/product/all-in-3-seater/
italian furniture showroom,9,590,8.9,0,2.9100000858306885,navigational,https://telaitalianfurniture.com/
infinity desks,2,50,8.1,0,0.7300000190734863,transactional,https://telaitalianfurniture.com/product/infinity-desk/
italian recliner sofa,2,50,8.1,0,3.4200000762939453,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
pillows in italian,7,260,6.7,0,,informational,https://telaitalianfurniture.com/product/cuscini-pillow/
eden furniture,5,140,6.6,0,1.8399999141693115,navigational,https://telaitalianfurniture.com/product-category/eden-collection/
esse chair,5,140,6.6,0,1.0399999618530273,transactional,https://telaitalianfurniture.com/product/esse-lounge-armchair-2/
italy sofas,5,140,6.6,0,2.2100000381469727,transactional,https://telaitalianfurniture.com/product-category/sofas/
delano modern low profile sectional sofa with chaise,4,90,5.9,0,0.46000000834465027,transactional,https://telaitalianfurniture.com/product/delano-sofa/
boutique sofa,3,50,4.9,0,1.600000023841858,navigational,https://telaitalianfurniture.com/product-category/sofas/
italian ottomans,3,50,4.9,0,4.809999942779541,informational,https://telaitalianfurniture.com/product-category/ottomans/
bubble ottoman,6,140,4.7,0,1.3300000429153442,transactional,https://telaitalianfurniture.com/product/bubble-ottoman/
italian sofa sectional,6,140,4.7,0,3.8899998664855957,transactional,https://telaitalianfurniture.com/product-category/sofas/
dillon sofa,4,70,4.6,0,1.6700000762939453,transactional,https://telaitalianfurniture.com/product/dillon-modular-sofa-power-recliner-options/
italian furniture for living room,8,210,4.1,3,1.1800000667572021,transactional,https://telaitalianfurniture.com/shop/
tela nyc,4,50,3.3,1,,navigational,https://telaitalianfurniture.com/product-category/new-york-collection/
italian couches for sale,5,70,3.3,0,3.430000066757202,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian made couch,5,70,3.3,0,2.4200000762939453,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian living room furniture,9,210,3.2,0,1.1800000667572021,transactional,https://telaitalianfurniture.com/shop/
pillow in italian,10,260,2.9,0,,informational,https://telaitalianfurniture.com/product/cuscini-pillow/
furniture italian sofas,3,30,2.9,0,1.809999942779541,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian furniture sofas,3,30,2.9,11,1.809999942779541,transactional,https://telaitalianfurniture.com/product-category/sofas/
leather sofa new york city,3,30,2.9,0,3.509999990463257,transactional,https://telaitalianfurniture.com/product/new-york-2-seater/
new york leather sofa,3,30,2.9,0,3.509999990463257,transactional,https://telaitalianfurniture.com/product/new-york-2-seater/
italian lounges,6,70,2.4,0,0.009999999776482582,navigational,https://telaitalianfurniture.com/
made in italy sofa,6,70,2.4,0,2.4200000762939453,transactional,https://telaitalianfurniture.com/
how to clean a fabric ottoman,8,110,2.2,0,0.4000000059604645,informational,https://telaitalianfurniture.com/tips-for-cleaning-modern-ottomans/
sofa ny,8,110,2.2,0,11.819999694824219,navigational,https://telaitalianfurniture.com/product-category/new-york-collection/
italian leather power reclining sofa,4,30,2.0,0,2.6600000858306885,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
italian sofa furniture,4,30,2.0,0,1.809999942779541,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian modular sofas,7,70,1.8,0,2.369999885559082,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian recliner,7,70,1.8,0,2.0899999141693115,transactional,https://telaitalianfurniture.com/product/alcor-3-seater-with-recliner/
italian sofa sale,7,70,1.8,0,3.430000066757202,transactional,https://telaitalianfurniture.com/
la peonia,7,70,1.8,0,0.009999999776482582,informational,https://telaitalianfurniture.com/product/peonia-sofa/
modular sofa italian,7,70,1.8,0,2.369999885559082,transactional,https://telaitalianfurniture.com/product-category/sofas/
italian sectional,8,90,1.8,0,5.190000057220459,informational,https://telaitalianfurniture.com/product-category/sofas/
camilla 3-piece leather sectional,6,50,1.7,0,7.690000057220459,transactional,https://telaitalianfurniture.com/product/camilla-sectional-leather-sofa-with-3-recliners/
how to clean ottoman,9,110,1.6,0,1.4600000381469727,informational,https://telaitalianfurniture.com/tips-for-cleaning-modern-ottomans/
ny sofa,9,110,1.6,16,11.819999694824219,transactional,https://telaitalianfurniture.com/product-category/new-york-collection/
online furniture stores in italy,5,30,1.4,20,1.6399999856948853,commercial,https://telaitalianfurniture.com/
italian furniture supplier,8,70,1.4,4,1.6700000762939453,commercial,https://telaitalianfurniture.com/
dillon furniture reviews,6,40,1.4,0,,informational,https://telaitalianfurniture.com/product/dillon-modular-sofa-power-recliner-options/
how to clean an ottoman,10,110,1.2,0,1.4600000381469727,informational,https://telaitalianfurniture.com/tips-for-cleaning-modern-ottomans/
italian designer couch,9,70,1.0,3,1.7400000095367432,transactional,https://telaitalianfurniture.com/product-category/sofas/
