keyword,position,search_volume,etv,keyword_difficulty,cpc,search_intent,ranking_url
wassers,1,1900,577.6,21,,informational,https://wassersfurniture.com/
wasser furniture,1,210,63.8,16,4.28000020980835,navigational,https://wassersfurniture.com/
wassers furniture,1,210,63.8,3,4.28000020980835,navigational,https://wassersfurniture.com/
genuine leather ottoman,8,480,9.5,0,2.2300000190734863,transactional,https://wassersfurniture.com/genuine-leather-ottomans-in-stock.html
diva chandelier,2,50,8.1,0,1.4500000476837158,transactional,https://wassersfurniture.com/regina-andrew-design-rad-diva-chandelier-grey-item-16-1037gry-free-shipping-no-tax.html
mirror times,5,110,5.2,16,0.5099999904632568,informational,https://wassersfurniture.com/products/times-mirror
sonos connect:amp gen1,9,320,4.8,0,0.44999998807907104,transactional,https://wassersfurniture.com/sonos-connect-amp.html
tempur cloud luxe breeze king,2,20,3.2,0,8.640000343322754,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html
tempur-cloud luxe breeze king,2,20,3.2,0,8.640000343322754,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html
furniture store hallandale,8,90,1.8,5,2.799999952316284,navigational,https://wassersfurniture.com/
furniture store in hallandale fl,10,90,1.0,5,2.799999952316284,navigational,https://wassersfurniture.com/
furniture stores hallandale fl,10,90,1.0,5,2.799999952316284,navigational,https://wassersfurniture.com/
alligator leather chair,8,50,1.0,0,0.4000000059604645,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html
naos coffee tables,8,50,1.0,0,1.2300000190734863,transactional,https://wassersfurniture.com/naos-coffee-table-hula-motion-quickship.html
american leather luxe,8,40,0.8,0,0.4399999976158142,navigational,http://wassersfurniture.com/furniture/livingroom/american-leather-luxe.html
w.s furniture,9,50,0.8,23,6.960000038146973,navigational,https://wassersfurniture.com/
luxe sofa american leather,9,40,0.6,0,3.7899999618530273,transactional,http://wassersfurniture.com/furniture/livingroom/american-leather-luxe.html
ws furniture,10,50,0.6,36,6.960000038146973,navigational,https://wassersfurniture.com/
romina new york crib,7,20,0.5,0,4.929999828338623,navigational,https://wassersfurniture.com/romina-furniture-new-york-crib.html
small wood bead chandelier,10,20,0.2,0,1.4600000381469727,transactional,https://wassersfurniture.com/little-wasser-s-boho-wood-bead-chandelier.html
