domain,shared_keywords,competitor_rank,organic_keywords,organic_traffic_est,traffic_value_usd,pos_1,pos_2_3,pos_4_10
youtube.com,170,,170,876.4,933.26,3,3,11
instagram.com,140,,140,848.4,844.9,3,1,9
facebook.com,130,,130,784.8,561.14,2,1,10
americanleather.com,108,,108,123.4,243.43,0,0,2
jensen-lewis.com,102,,102,152.0,440.08,1,0,2
roomandboard.com,95,,95,121.3,257.01,0,0,3
amazon.com,94,,94,708.0,303.1,1,3,5
ebay.com,94,,94,131.8,294.03,0,2,7
urbannatural.com,89,,89,115.6,223.91,0,0,2
modernfurnishings.com,89,,89,109.4,230.31,0,0,3
burlingtonfurniture.us,79,,79,100.8,202.66,0,0,3
hanseninteriors.com,74,,74,90.8,195.73,0,0,0
bloomingdales.com,73,,73,108.0,270.55,0,2,2
aptdeco.com,72,,72,69.3,170.48,0,0,2
macys.com,70,,70,118.6,243.25,0,1,2
baers.com,70,,70,95.3,195.62,0,0,2
jenniferfurniture.com,64,,64,70.2,121.86,0,0,0
wayfair.com,63,,63,43.8,64.46,0,1,2
pinterest.com,63,,63,110.1,347.87,1,1,5
walmart.com,62,,62,85.1,189.33,0,1,7
savvyhomestore.com,62,,62,97.6,204.94,0,0,2
cantoni.com,60,,60,53.3,143.96,0,0,2
americanclassicsleather.com,56,,56,60.0,94.84,0,0,0
yelp.com,56,,56,765.4,645.29,3,0,6
