year,month,period,keywords,etv,traffic_value_usd,pos_1,pos_2_3,pos_4_10,pos_11_20,pos_21_30,pos_31_40,pos_41_50,pos_51_60,pos_61_70,pos_71_80,pos_81_90,pos_91_100,page1,page2,page3,page4plus
2024,6,2024-06,2453,11355.8,25080.67,11,67,321,427,379,320,266,212,168,120,98,64,399,427,379,1248
2024,7,2024-07,2506,13605.6,29368.76,12,84,328,418,370,301,271,236,193,130,99,64,424,418,370,1294
2024,8,2024-08,2730,11006.3,25363.81,16,87,333,441,427,336,298,241,219,134,125,73,436,441,427,1426
2024,9,2024-09,3159,13087.2,30734.32,19,108,350,505,470,441,319,280,234,181,157,95,477,505,470,1707
2024,10,2024-10,4512,19387.0,46053.46,19,212,528,699,714,604,465,369,312,268,181,141,759,699,714,2340
2024,11,2024-11,2721,5639.9,14639.28,13,135,312,461,414,336,291,228,182,161,115,73,460,461,414,1386
2024,12,2024-12,4372,20001.0,40374.73,22,260,487,715,619,527,465,389,309,243,196,140,769,715,619,2269
2025,1,2025-01,3934,16451.8,39512.6,26,256,478,657,571,467,382,327,277,213,152,128,760,657,571,1946
2025,2,2025-02,2862,11458.3,29106.0,27,195,374,520,425,328,288,222,159,138,101,85,596,520,425,1321
2025,3,2025-03,2856,9312.3,21438.82,22,177,333,489,473,329,266,245,188,134,115,85,532,489,473,1362
2025,4,2025-04,2758,7418.0,20836.39,20,162,319,537,473,326,262,203,153,134,88,81,501,537,473,1247
2025,5,2025-05,2704,6793.0,17737.25,13,134,320,544,481,340,262,217,140,116,85,52,467,544,481,1212
2025,6,2025-06,2332,5619.4,11326.13,7,84,262,421,359,275,259,204,148,145,104,64,353,421,359,1199
2025,7,2025-07,2294,5437.8,10074.75,5,70,256,402,316,247,289,209,175,142,105,78,331,402,316,1245
2025,8,2025-08,2262,4497.0,9916.14,6,72,256,354,281,272,265,229,177,146,129,75,334,354,281,1293
2025,9,2025-09,2081,5578.3,9269.78,9,74,242,335,261,246,216,197,164,152,118,67,325,335,261,1160
2025,10,2025-10,2097,5576.5,7742.09,10,68,259,333,292,233,193,190,167,140,132,80,337,333,292,1135
2025,11,2025-11,2097,4811.7,8162.07,12,74,252,331,255,213,212,184,168,152,142,102,338,331,255,1173
2025,12,2025-12,2111,5111.0,8131.58,12,70,278,331,239,201,223,161,182,161,154,99,360,331,239,1181
2026,1,2026-01,2002,4466.2,7430.17,14,92,272,308,214,193,201,168,154,129,147,110,378,308,214,1102
2026,2,2026-02,1900,5552.3,7631.27,14,105,268,301,199,192,185,146,146,126,130,88,387,301,199,1013
2026,3,2026-03,1827,5245.4,7047.32,13,97,269,307,200,213,180,155,127,108,89,69,379,307,200,941
2026,4,2026-04,1553,6388.3,8377.93,16,89,261,292,237,197,155,124,64,57,34,27,366,292,237,658
2026,5,2026-05,1314,5803.8,7899.05,12,84,200,253,246,208,139,88,32,27,13,12,296,253,246,519
2026,6,2026-06,703,3000.5,4070.91,6,37,88,131,134,134,87,46,23,9,3,5,131,131,134,307
2026,7,2026-07,278,1031.8,1556.89,3,8,24,37,44,66,45,26,19,3,1,2,35,37,44,162
