keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
steamer trunk coffee table,2,4,2400,469.8,0,1.1800000667572021,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-29 17:01:40 +00:00
steamer trunk as coffee table,3,6,2400,282.2,0,1.1800000667572021,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-14 00:02:29 +00:00
luna chair,2,3,880,142.6,0,0.7200000286102295,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-03-16 11:10:19 +00:00
carrol boyes,2,2,590,95.6,0,0.5199999809265137,informational,https://wassersfurniture.com/shop-by-brand/a-c/carrol-boyes.html,legacy .html,False,2026-03-17 12:11:30 +00:00
airguide barometer,2,7,480,77.8,0,0.10000000149011612,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2026-03-17 19:58:55 +00:00
play 1 play,4,6,880,58.0,0,0.1899999976158142,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-16 09:22:05 +00:00
maitland smith obelisk,2,5,320,51.8,0,0.07999999821186066,informational,https://wassersfurniture.com/pair-maitland-smith-neoclassical-tessellate-obelisks.html,legacy .html,False,2026-04-22 18:01:24 +00:00
play play 1,5,8,880,41.3,0,0.1899999976158142,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-16 09:23:52 +00:00
antique steamer trunk coffee table,5,8,720,41.3,0,1.0199999809265137,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-16 17:30:10 +00:00
antique airguide barometer,2,5,210,34.0,0,0.09000000357627869,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2025-10-31 14:23:06 +00:00
cloud luxe breeze tempur-pedic,2,4,210,34.0,0,4.529999732971191,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-25 21:55:42 +00:00
romina furniture,6,8,880,29.7,0,3.259999990463257,navigational,https://wassersfurniture.com/shop-by-brand/r-z/romina-furniture.html,legacy .html,False,2026-03-16 08:29:43 +00:00
dia table,2,3,170,27.5,0,2.759999990463257,informational,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-03-06 15:43:09 +00:00
play 1,7,9,880,22.5,7,0.1899999976158142,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-16 09:21:02 +00:00
stone international,10,14,1600,18.1,0,6.190000057220459,navigational,https://wassersfurniture.com/shop-by-brand/r-z/stone-international.html,legacy .html,False,2026-03-14 13:16:58 +00:00
newport cottage,6,6,480,16.2,13,2.2300000190734863,navigational,https://wassersfurniture.com/shop-by-brand/l-p/newport-cottages.html,legacy .html,False,2026-01-22 22:30:32 +00:00
dias furniture,1,3,50,15.2,0,0.20000000298023224,navigational,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-04-12 02:41:19 +00:00
sonos connect amp specs,1,2,40,15.2,0,6.210000038146973,informational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-04-10 12:10:45 +00:00
sonos connect:amp specs,1,2,40,15.2,0,6.210000038146973,informational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-26 19:03:08 +00:00
crocodile chair,2,4,90,14.6,0,1.0099999904632568,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-05-05 14:07:00 +00:00
dreamweavers pebble rug,2,4,20,14.6,0,0.44999998807907104,transactional,https://wassersfurniture.com/dreamweavers-shimmer-pebble-platinum-white-in-stock-ready-to-ship.html,legacy .html,False,2026-03-22 08:13:26 +00:00
dreamweavers rugs pebble,2,2,20,14.6,0,0.44999998807907104,transactional,https://wassersfurniture.com/dreamweavers-shimmer-pebble-platinum-white-in-stock-ready-to-ship.html,legacy .html,False,2026-03-22 08:14:51 +00:00
play 3 dimensions,4,7,210,13.8,0,0.12999999523162842,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-03-19 21:44:40 +00:00
newport cottages,7,9,480,12.3,14,2.2300000190734863,navigational,https://wassersfurniture.com/shop-by-brand/l-p/newport-cottages.html,legacy .html,False,2026-04-21 08:27:58 +00:00
airguide barometer thermometer hygrometer,1,2,50,12.2,0,0.5299999713897705,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2026-03-27 13:09:46 +00:00
airguide thermometer,2,6,70,11.3,0,0.07000000029802322,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2026-04-09 21:54:39 +00:00
american signature leather sofa,2,5,70,11.3,0,0.7300000190734863,transactional,https://wassersfurniture.com/american-leather-parker-leather-sofa-showroom-sample-sale.html,legacy .html,False,2026-03-08 05:21:21 +00:00
vintage italian dining chairs,2,4,70,11.3,0,0.6899999976158142,transactional,https://wassersfurniture.com/vintage-italian-dining-chairs-set-of-6.html,legacy .html,False,2026-03-22 16:43:36 +00:00
what is sonos connect,4,7,140,11.2,0,,informational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-06 02:51:29 +00:00
sonos connect gen1,6,10,320,10.8,0,0.3400000035762787,transactional,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-01-31 01:57:30 +00:00
sonos connect amp dimensions,1,2,30,9.1,0,,informational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-28 04:19:57 +00:00
sonos connect:amp dimensions,1,2,30,9.1,0,,commercial,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-28 04:19:46 +00:00
glass top for dining room table,9,12,590,8.9,0,2.319999933242798,transactional,https://wassersfurniture.com/furniture/diningroom/glass-tops.html,legacy .html,False,2026-03-04 12:11:05 +00:00
alligator skin chairs,2,6,50,8.1,0,0.7099999785423279,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-04-12 17:46:39 +00:00
dia furniture,2,2,50,8.1,0,0.20000000298023224,transactional,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-04-12 02:47:56 +00:00
joya rocker by monte,2,2,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-03-25 21:33:43 +00:00
joya rocker monte,2,2,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-11 09:12:32 +00:00
luna low back chair,2,2,50,8.1,0,0.5799999833106995,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-03-08 12:09:29 +00:00
monte joya rocker,2,3,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-11 02:15:38 +00:00
tub sofa,2,6,50,8.1,0,3.4000000953674316,transactional,https://wassersfurniture.com/eilersen-tub-sofa-tunnel-36-fabric-free-same-day-pickup-next-day-quickship.html,legacy .html,False,2026-03-08 06:31:54 +00:00
sonos connect amp specifications,2,4,40,8.1,0,6.210000038146973,navigational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-26 19:02:46 +00:00
leather low back chair,3,3,70,6.8,0,2.2699999809265137,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-08 12:05:11 +00:00
lucite nesting tables,3,6,70,6.8,0,3.3299999237060547,transactional,https://wassersfurniture.com/kac-lucite-nesting-tables-set-of-3-same-day-pickup-next-day-quickship.html,legacy .html,False,2026-05-07 07:44:34 +00:00
colonial buffet,7,9,210,6.7,0,,informational,https://wassersfurniture.com/vintage-spanish-colonial-buffet.html,legacy .html,False,2026-04-29 15:45:30 +00:00
luna chair odd knutsen,5,6,140,6.6,0,0.38999998569488525,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2025-09-09 12:38:50 +00:00
crocodile leather chair,2,6,40,6.5,0,0.5699999928474426,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-02-26 01:43:10 +00:00
monte trundle bed,2,3,40,6.5,0,1.4500000476837158,transactional,https://wassersfurniture.com/monte-design-dorma-trundle-bed.html,legacy .html,False,2026-04-14 04:43:02 +00:00
sonos play 3 dimensions,2,4,40,6.5,0,,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:52 +00:00
sonos play:3 dimensions,2,4,40,6.5,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:49 +00:00
pablo lana lamp,2,2,30,6.5,0,0.029999999329447746,transactional,https://wassersfurniture.com/pablo-lana.html,legacy .html,False,2026-03-28 13:01:38 +00:00
vintage sonneman floor lamp,2,3,30,6.5,0,0.009999999776482582,transactional,https://wassersfurniture.com/vintage-sonneman-3033-floor-lamp.html,legacy .html,False,2026-04-13 11:41:51 +00:00
