keyword,search_volume,cpc,competition,keyword_difficulty
high end furniture store,6600,3.37,HIGH,27
furniture stores miami,4400,3.38,HIGH,27
luxury furniture store,3600,3.83,HIGH,24
furniture stores fort lauderdale,1900,3.83,HIGH,0
modern furniture store near me,1900,4.3,HIGH,29
outdoor furniture miami,1000,4.06,HIGH,16
modern furniture miami,590,6,HIGH,14
italian furniture store,590,2.91,HIGH,11
interior design miami,480,8.12,MEDIUM,32
office furniture miami,320,21.29,HIGH,5
furniture stores aventura,260,3.79,HIGH,0
furniture stores hollywood fl,260,2.79,HIGH,0
modern furniture fort lauderdale,110,5.75,HIGH,0
bedroom furniture miami,110,1.87,HIGH,0
italian furniture miami,90,3.03,HIGH,0
furniture stores hallandale,90,2.8,HIGH,0
luxury furniture miami,70,4.06,HIGH,0
custom furniture miami,70,12.41,HIGH,0
contemporary furniture miami,40,2.62,HIGH,11
sectional sofas miami,30,5.16,HIGH,0
dining room sets miami,30,3.5,HIGH,9
furniture showroom miami,30,6.07,HIGH,23
high end furniture miami,20,2.99,HIGH,10
designer furniture miami,10,,HIGH,23
italian furniture fort lauderdale,10,,HIGH,0
european furniture miami,10,1.96,HIGH,22
luxury furniture fort lauderdale,,,,
furniture stores sunny isles,,,,
