sc_product_line,keyword_count,total_search_volume,top_keywords
Crystal Weighted Blanket,246,1295940,"weighted blanket, weighted blanket for anxiety, weighted blanket anxiety, weighted blanket and anxiety, weighted anxiety blanket, anxiety weighted blanket, anxiety blanket weighted, anxiety and weighted blanket"
Premium Lumière (Bamboo),409,1039450,"bedding sets bamboo, bed sheets bamboo, bamboo sheets bedding, bamboo sheets bed, bamboo sheets, bamboo sheet bedding, bamboo fibre sheets, bamboo bedding sheets"
European Flax Linacel (Linen),521,1009230,"sheets linen, sheets and linen, linen sheets, linen linen sheets, linen for sheets, linen for bed sheets, sheets bed linen, linen sheets for bed"
Cloud Cool / Cooling,801,849390,"cooling blanket, blanket for cooling, sheets for cooling, sheets cooling, cooling sheets, cooling fitted sheets, cooling bedding sheets, cooling bed sheets"
Percale,240,771870,"sheets percale, sheets cotton percale, percale sheets cotton, percale sheets, percale cotton sheets, percale cotton bed sheets, percale bed sheets, fitted sheets percale"
Snug (Chunky Knit / Faux Fur),609,619130,"throw with faux fur, throw faux fur, fur throw faux, fur faux throw, faux throw fur, faux mink fur throw, faux fur throw, faux fur pelt throw"
Organic Cotton,256,400410,"sheets organic cotton, organic sheets cotton, organic cotton sheets bedding, organic cotton sheets, organic cotton bedding sheets, organic cotton bedding sets, organic cotton bedding set, organic cotton bed sheets"
Bath / Towels,431,273950,"turkish towels, towels turkish, towels in turkish, turkish towels cotton, turkish cotton towels, towels turkish cotton, cotton turkish towels, turkish cotton bath towels"
Waffle,735,224300,"waffle towel, waffle robe, towel waffle, robe waffle, bath robe waffle, waffle blanket, womens robe waffle, women's waffle robe"
Silky Lyocell (TENCEL™),110,192410,"lyocell, tencel, tencel sheets, tencel sheet, tencel lyocell sheets, tencel lyocell sheet, tencel lyocell bed sheets, tencel bedding sets"
Muslin,269,190990,"muslin blanket, blanket muslin, swaddling with muslin blanket, swaddling with a muslin blanket, swaddling muslin blanket, swaddle with muslin blanket, swaddle muslin blanket, swaddle blanket muslin"
Luce Cotton Sateen,276,127670,"sheets sateen sheets, sheets sateen, sateen sheets, saatva organic sateen sheets, bed sheets sateen, sateen weave cotton sheets, sateen cotton sheets, cotton sateen sheets"
Naked Modal,184,71060,"pajamas modal, modal pajamas, modal material pajamas, modal fabric pajamas, modal pajamas sets, modal pajamas set, modal pajamas gap, gap modal pajamas"
Velvet,339,41690,"velvet quilt, quilt velvet, velvet duvet covers, velvet duvet cover, duvet velvet cover, duvet covers velvet, duvet cover velvet, velvet quilt king"
