keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
bedding sets,110000,17820,3,https://parachutehome.com/collections/bedding-sets,2,2.799999952316284,transactional
bath towels,49500,8019,4,https://parachutehome.com/collections/towels,6,1.6200000047683716,transactional
blankets,201000,6793.7998046875,10,https://parachutehome.com/collections/bed-throws-blankets,2,1.7300000190734863,transactional
cotton percale bed sheets,33100,5362.2001953125,3,https://parachutehome.com/collections/percale-bedding,0,3.5,transactional
fitted sheets percale,33100,5362.2001953125,3,https://parachutehome.com/collections/percale-bedding,0,4.28000020980835,transactional
percale sheet,33100,5362.2001953125,4,https://parachutehome.com/collections/percale-bedding,0,4.28000020980835,transactional
body pillow,74000,4876.60009765625,7,https://parachutehome.com/products/body-pillow-insert-down-alternative,0,0.9800000190734863,transactional
slipper slippers,135000,3456,12,https://parachutehome.com/collections/slippers,0,1.4600000381469727,transactional
wool balls for drying clothes,49500,3262.050048828125,7,https://parachutehome.com/products/wool-dryer-ball,0,1.4800000190734863,transactional
bath robe,33100,3220.6298828125,5,https://parachutehome.com/collections/bathrobes,0,1.7200000286102295,transactional
fitted sheet percale,33100,3220.6298828125,4,https://parachutehome.com/collections/percale-bedding,0,4.28000020980835,transactional
queen size bed dimensions,90500,3058.89990234375,8,https://parachutehome.com/blogs/posts/queen-bed-dimensions,6,1.3899999856948853,informational
double bed versus queen bed,9900,3009.60009765625,4,https://parachutehome.com/blogs/posts/double-bed-vs-queen-bed,0,1.7400000095367432,informational
double v queen bed,9900,3009.60009765625,2,https://parachutehome.com/blogs/posts/double-bed-vs-queen-bed,0,1.7400000095367432,transactional
pillow cases,18100,2932.199951171875,3,https://parachutehome.com/collections/pillowcases,0,1.5699999332427979,transactional
queen blanket size,18100,2932.199951171875,5,https://parachutehome.com/blogs/posts/queen-size-blanket-dimensions,0,1.1100000143051147,informational
what are shams,18100,2932.199951171875,4,https://parachutehome.com/blogs/posts/what-is-a-sham,0,8.640000343322754,informational
mattress sheets fitted,40500,2668.949951171875,6,https://parachutehome.com/collections/fitted-sheets,0,2.180000066757202,transactional
