keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
home furnishing retail,135000,41040,5,https://www.potterybarn.com/,91,1.6299999952316284,navigational
home furnishing retailer,135000,41040,5,https://www.potterybarn.com/,83,1.6299999952316284,navigational
home furnishing retailers,135000,41040,4,https://www.potterybarn.com/,81,1.6299999952316284,commercial
home furnishings retail,135000,41040,5,https://www.potterybarn.com/,81,1.6299999952316284,commercial
home furnishings retailers,135000,41040,5,https://www.potterybarn.com/,81,1.6299999952316284,commercial
pottery,135000,41040,4,https://www.potterybarn.com/,56,2.1600000858306885,informational
tables dining room tables,135000,41040,2,https://www.potterybarn.com/shop/furniture/dining-tables/,2,1.8399999141693115,transactional
women dresser,246000,39852,5,https://www.potterybarn.com/shop/furniture/dressers/,1,1,commercial
sales homeware,368000,35806.3984375,4,https://www.potterybarn.com/shop/sale/,31,1.0800000429153442,transactional
bedding sets,110000,33440,2,https://www.potterybarn.com/shop/bedding/,2,2.799999952316284,transactional
twin beds bedding,201000,32562,5,https://www.potterybarn.com/shopping/twin-bedding/,0,1.409999966621399,transactional
shopping home,450000,29655,6,https://www.potterybarn.com/,91,0.7799999713897705,commercial
furniture stores and,550000,25795,8,https://www.potterybarn.com/,53,3.119999885559082,commercial
sale homeware,368000,24251.19921875,4,https://www.potterybarn.com/shop/sale/,23,1.0800000429153442,transactional
coffee table,246000,23935.80078125,4,https://www.potterybarn.com/shop/furniture/coffee-tables/,16,1.4600000381469727,transactional
coffee tables,246000,23935.80078125,4,https://www.potterybarn.com/shop/furniture/coffee-tables/,0,1.4600000381469727,transactional
love fancy shack,246000,23935.80078125,3,https://www.potterybarn.com/shop/new/loveshackfancy/,23,0.47999998927116394,navigational
dining room table,74000,22496,2,https://www.potterybarn.com/shop/furniture/dining-tables/,7,1.7799999713897705,transactional
homeware stores,74000,22496,4,https://www.potterybarn.com/,47,0.7400000095367432,navigational
home furnishing retail stores,135000,21870,5,https://www.potterybarn.com/,81,1.6299999952316284,commercial
home furnishings retailer,135000,21870,6,https://www.potterybarn.com/,81,1.6299999952316284,navigational
mickey mouse click,301000,19835.900390625,6,https://www.potterybarn.com/products/mickey-mouse-clock/,0,0.3199999928474426,informational
bar stools and bar,201000,19557.30078125,4,https://www.potterybarn.com/shop/furniture/barstools/,3,2.4800000190734863,transactional
father's day gift ideas,60500,18392,1,https://www.potterybarn.com/shop/gifts/fathers-day-gifts/,0,1.4300000667572021,informational
leather couches,60500,18392,1,https://www.potterybarn.com/shop/furniture/leather+sofa/material-m-material-ff0012-1/,0,2.869999885559082,transactional
rectangle kitchen tables,60500,18392,2,https://www.potterybarn.com/shop/furniture/rectangle+dining-tables/shape-m-shape-ff0011fe-1/,0,1.7400000095367432,transactional
round dinette tables,60500,18392,3,https://www.potterybarn.com/shop/furniture/round+dining-tables/shape-m-shape-ff000d-1/,0,1.7000000476837158,transactional
round table dining room,60500,18392,4,https://www.potterybarn.com/shop/furniture/round+dining-tables/shape-m-shape-ff000dfe-1/,0,1.7000000476837158,transactional
round table for dining room,60500,18392,3,https://www.potterybarn.com/shop/furniture/round+dining-tables/shape-m-shape-ff000dfe-1/,0,1.7000000476837158,transactional
comforters,110000,17820,3,https://www.potterybarn.com/shop/bedding/bedding-comforters/,2,2.2100000381469727,transactional
full size bedding,110000,17820,2,https://www.potterybarn.com/shop/bedding/,0,1.6800000667572021,transactional
jewelry box,110000,17820,2,https://www.potterybarn.com/shop/organization/jewelry-boxes-displays/,7,0.9200000166893005,transactional
presents mom,110000,17820,3,https://www.potterybarn.com/shop/gifts/mothers-day-gifts/,1,2.049999952316284,transactional
love shack fancy,246000,16211.400390625,8,https://www.potterybarn.com/shop/new/loveshackfancy/,1,0.47999998927116394,navigational
home accent stores,49500,15048,4,https://www.potterybarn.com/shop/accessories-decor/all-home-accents/,31,1.0499999523162842,navigational
home and decor shops,49500,15048,1,https://www.potterybarn.com/,42,1.0499999523162842,navigational
home and furnishing,49500,15048,4,https://www.potterybarn.com/,32,2.440000057220459,informational
home décor stores,49500,15048,4,https://www.potterybarn.com/,82,1.0499999523162842,navigational
home furnishings,49500,15048,4,https://www.potterybarn.com/,94,2.109999895095825,transactional
throws,49500,15048,3,https://www.potterybarn.com/shop/accessories-decor/throws-blankets/,23,1.2999999523162842,informational
williams-sonoma,1220000,13786,16,https://www.potterybarn.com/pages/williams-sonoma/,39,0.3199999928474426,informational
bars and stools,201000,13245.900390625,6,https://www.potterybarn.com/shop/furniture/barstools/,7,2.4800000190734863,transactional
dining area table,135000,13135.5,6,https://www.potterybarn.com/shop/furniture/dining-tables/,25,1.8399999141693115,transactional
living rooms,135000,13135.5,4,https://www.potterybarn.com/shop/shop-by-room/living-rooms/,35,1.350000023841858,informational
bar and cabinets,40500,12312,2,https://www.potterybarn.com/shop/furniture/bars-furniture/,0,1.8799999952316284,transactional
p b,40500,12312,4,https://www.potterybarn.com/,48,1.8700000047683716,informational
queen bedding sets,40500,12312,1,https://www.potterybarn.com/shop/bedding/,0,0.8500000238418579,transactional
blanket and throws,74000,11988,4,https://www.potterybarn.com/shop/accessories-decor/throws-blankets/,7,1.2300000190734863,transactional
slipcovered sofa,74000,11988,3,https://www.potterybarn.com/shopping/slipcovered-sofas-clearance/,0,1.4600000381469727,transactional
throws and blankets,74000,11988,3,https://www.potterybarn.com/shop/accessories-decor/throws-blankets/,23,1.2300000190734863,transactional
west elm,1000000,11300,16,https://www.potterybarn.com/,47,1.059999942779541,informational
blackout drapes and curtains,165000,10873.5,6,https://www.potterybarn.com/shop/window-treatments/blackout-curtains-and-drapes/,4,1.559999942779541,transactional
buffet china,550000,10835,16,https://www.potterybarn.com/shop/furniture/buffets/,0,0.33000001311302185,navigational
bedding set,110000,10703,5,https://www.potterybarn.com/shop/bedding/,2,2.799999952316284,transactional
bedrooms,110000,10703,5,https://www.potterybarn.com/shop/shop-by-room/bedrooms/,31,1.4800000190734863,informational
bedding sets for queen bed,33100,10062.400390625,2,https://www.potterybarn.com/shop/bedding/,2,1.899999976158142,transactional
bedroom accessories ideas,33100,10062.400390625,2,https://www.potterybarn.com/shop/shop-by-room/bedrooms/,4,0.9800000190734863,informational
decor inspo living room,33100,10062.400390625,1,https://www.potterybarn.com/shop/shop-by-room/living-rooms/,27,0.9900000095367432,informational
decoration for bathrooms,33100,10062.400390625,1,https://www.potterybarn.com/shop/bath/,14,0.6600000262260437,informational
