domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
thecompanystore.com,brand/retail,970,316145,1.64,16.5,243.4
nytimes.com,publisher,608,172977,0.9,11.5,240.0
ikea.com,brand/retail,642,155920,0.81,13.9,219.7
potterybarn.com,brand/retail,868,142378,0.74,18.5,152.9
hancocks-paducah.com,brand/retail,29,123330,0.64,9.4,14.2
latestbedding.com,brand/retail,242,121767,0.63,14.8,87.3
sleepfoundation.org,publisher,408,113145,0.59,16.5,105.2
forbes.com,publisher,302,107004,0.55,18.4,95.4
tempurpedic.com,brand/retail,100,102064,0.53,13.5,42.0
beddys.com,brand/retail,140,100442,0.52,20.0,36.9
bedsurehome.com,brand/retail,208,98423,0.51,17.3,62.3
us.pigletinbed.com,brand/retail,205,95455,0.49,17.1,80.4
sheetsociety.com,brand/retail,176,91692,0.48,16.4,73.2
fatquartershop.com,brand/retail,96,84932,0.44,15.2,32.6
sandcloud.com,brand/retail,20,83861,0.43,14.5,6.8
marshalldrygoods.com,brand/retail,14,75933,0.39,9.6,8.4
cottoneerfabrics.com,brand/retail,19,71447,0.37,25.1,3.7
lolablankets.com,brand/retail,79,69901,0.36,9.7,43.1
linensandhutch.com,brand/retail,178,68925,0.36,19.4,43.8
softminkyblankets.com,brand/retail,136,68586,0.36,14.4,54.5
cariloha.com,brand/retail,42,67567,0.35,13.4,19.0
mattressclarity.com,publisher,185,65286,0.34,27.6,33.8
mattressnerd.com,publisher,112,60491,0.31,22.4,24.3
peacockalley.com,brand/retail,300,59006,0.31,18.7,53.9
connectingthreads.com,brand/retail,65,58809,0.3,22.3,16.0
keepsakequilting.com,brand/retail,29,58276,0.3,16.3,11.4
notperfectlinen.com,brand/retail,97,56267,0.29,22.2,28.9
dreamcloudsleep.com,brand/retail,40,56255,0.29,27.0,3.6
pureparima.com,brand/retail,66,54762,0.28,21.5,19.0
coopsleepgoods.com,brand/retail,146,53561,0.28,19.5,40.9
magiclinen.com,brand/retail,284,51452,0.27,20.6,70.6
thespruce.com,publisher,494,50363,0.26,21.2,96.4
parachutehome.com,brand/retail,207,47974,0.25,22.5,44.6
purple.com,brand/retail,101,45013,0.23,21.1,20.4
accuquilt.com,brand/retail,29,44619,0.23,12.1,12.5
casper.com,brand/retail,179,44572,0.23,21.3,33.7
sleepopolis.com,publisher,290,44464,0.23,15.7,64.1
westelm.com,brand/retail,675,44433,0.23,20.9,84.6
coyuchi.com,brand/retail,202,44287,0.23,22.2,38.8
fortune.com,publisher,2,44129,0.23,13.0,0.3
tableclothsfactory.com,brand/retail,26,43298,0.22,6.2,16.3
balooliving.com,brand/retail,16,43010,0.22,13.9,6.1
doraihome.com,brand/retail,21,42830,0.22,4.5,17.0
cubavera.com,brand/retail,90,42761,0.22,12.4,46.8
www2.hm.com,brand/retail,451,42505,0.22,17.8,95.8
egyptianlinens.com,brand/retail,138,42468,0.22,18.8,37.1
ugg.com,brand/retail,31,40910,0.21,9.3,19.6
luxome.com,brand/retail,74,40410,0.21,18.0,22.2
simplyorganicbamboo.com,brand/retail,40,40115,0.21,14.5,13.6
3hlinen.com,brand/retail,94,39176,0.2,25.6,20.1
boppy.com,brand/retail,40,38761,0.2,9.5,24.8
hobbylobby.com,brand/retail,180,38670,0.2,21.8,28.7
lushdecor.com,brand/retail,161,37396,0.19,23.2,26.1
quiettownhome.com,brand/retail,25,36880,0.19,20.7,8.5
michaels.com,brand/retail,220,36117,0.19,29.7,18.9
redlandcotton.com,brand/retail,110,35982,0.19,17.3,31.6
shop.moen.com,brand/retail,19,34997,0.18,8.2,10.6
eileenwest.com,brand/retail,18,34940,0.18,18.9,7.0
quince.com,brand/retail,320,34822,0.18,24.4,31.0
barefootdreams.com,brand/retail,96,34778,0.18,12.8,36.3
avocadogreenmattress.com,brand/retail,89,34749,0.18,17.4,28.4
missouriquiltco.com,brand/retail,103,34637,0.18,17.8,17.2
cozyearth.com,brand/retail,215,34566,0.18,23.4,38.5
anthropologie.com,brand/retail,567,34366,0.18,25.1,57.3
pbteen.com,brand/retail,246,33744,0.17,12.9,79.5
daisyfarmcrafts.com,brand/retail,36,33533,0.17,9.8,18.8
athome.com,brand/retail,463,33122,0.17,19.4,72.9
chappywrap.com,brand/retail,1,32562,0.17,2.0,0.9
linentablecloth.com,brand/retail,17,31882,0.17,8.9,9.5
mulberryparksilks.com,brand/retail,60,31620,0.16,9.2,30.5
shop.americantextile.com,brand/retail,20,31445,0.16,12.1,13.7
pacourts.us,brand/retail,3,31118,0.16,4.7,2.0
barehome.com,brand/retail,107,31087,0.16,21.2,26.7
thepillowbar.com,brand/retail,11,30273,0.16,25.0,3.5
ettitude.com,brand/retail,45,30238,0.16,13.2,18.8
cnn.com,publisher,160,30056,0.16,20.4,27.0
pinkblushmaternity.com,brand/retail,10,29175,0.15,14.7,4.7
linenfoxclothes.com,brand/retail,94,29011,0.15,15.2,34.8
superiorbrand.com,brand/retail,165,28642,0.15,25.5,22.8
earthing.com,brand/retail,8,28485,0.15,1.0,8.0
quickzip.com,brand/retail,50,28323,0.15,16.1,17.3
yarnspirations.com,brand/retail,47,28100,0.15,10.7,22.5
charlestyrwhitt.com,brand/retail,61,27867,0.14,13.8,16.2
geometry.house,brand/retail,8,27697,0.14,5.4,5.1
crateandbarrel.com,brand/retail,641,27067,0.14,20.9,59.8
sijohome.com,brand/retail,57,26833,0.14,20.6,16.4
everlastingfabric.com,brand/retail,124,26691,0.14,15.3,39.1
needletravel.com,brand/retail,10,26113,0.14,17.9,2.1
meshki.us,brand/retail,67,25936,0.13,20.2,21.8
instructables.com,brand/retail,66,25724,0.13,15.8,25.9
daisycottagedesigns.net,brand/retail,37,25707,0.13,9.5,16.0
bountytowels.com,brand/retail,6,25357,0.13,12.0,3.2
underthecanopy.com,brand/retail,111,25276,0.13,21.7,32.4
royalegyptianbedding.com,brand/retail,50,24616,0.13,20.8,15.7
gravityblankets.com,brand/retail,18,24546,0.13,8.1,10.6
bigblanket.com,brand/retail,59,24076,0.12,15.2,24.4
pendleton-usa.com,brand/retail,83,24015,0.12,21.2,17.2
k5learning.com,brand/retail,10,23917,0.12,4.9,7.0
wildbird.co,brand/retail,8,23739,0.12,14.5,3.7
pillowpets.com,brand/retail,6,23712,0.12,14.0,4.3
wovennook.com,brand/retail,54,22931,0.12,19.2,18.1
shop.jazwares.com,brand/retail,4,22800,0.12,17.2,2.3
seams-sew-right.com,brand/retail,1,22496,0.12,1.0,1.0
llbean.com,brand/retail,349,21728,0.11,23.4,36.9
potterybarnkids.com,brand/retail,196,21679,0.11,13.0,55.8
faribaultmill.com,brand/retail,32,21648,0.11,5.3,22.8
levtexhome.com,brand/retail,98,21493,0.11,17.5,29.9
premiertablelinens.com,brand/retail,30,21260,0.11,5.3,18.9
miraclebrand.co,brand/retail,46,20902,0.11,35.1,4.2
thereformation.com,brand/retail,83,20832,0.11,13.8,31.8
hawkinsnewyork.com,brand/retail,30,20755,0.11,18.3,6.5
goodhousekeeping.com,publisher,364,20583,0.11,27.2,33.1
linenhandmadestudio.com,brand/retail,107,20391,0.11,16.9,46.0
aquateak.com,brand/retail,9,19960,0.1,12.3,6.0
sheex.com,brand/retail,27,19861,0.1,13.9,13.2
landsend.com,brand/retail,687,19837,0.1,22.2,58.6
saranoni.com,brand/retail,25,19598,0.1,5.2,17.1
us.theoodie.com,brand/retail,28,19431,0.1,4.7,19.7
weezietowels.com,brand/retail,57,19374,0.1,22.7,15.2
dillards.com,brand/retail,744,19297,0.1,28.4,25.4
quiltmuseum.org,brand/retail,8,19289,0.1,5.6,5.8
trustpilot.com,brand/retail,54,19281,0.1,9.7,20.2
mellowsleep.com,brand/retail,13,19188,0.1,11.7,7.3
downandfeathercompany.com,brand/retail,44,19072,0.1,24.3,9.2
shopflax.com,brand/retail,87,19038,0.1,16.3,33.8
ncoa.org,brand/retail,50,18997,0.1,16.5,15.8
mainequilts.org,brand/retail,2,18821,0.1,6.5,1.0
relaxtheback.com,brand/retail,121,18812,0.1,19.0,28.0
jqueen-ny.com,brand/retail,58,18364,0.1,18.5,18.0
craneandcanopy.com,brand/retail,167,18277,0.09,22.9,36.3
kimandono.com,brand/retail,31,18174,0.09,11.3,19.8
allpeoplequilt.com,brand/retail,63,18139,0.09,17.0,14.1
nordstromrack.com,brand/retail,440,17797,0.09,22.7,42.9
solutionbased.com,brand/retail,13,17377,0.09,14.9,4.2
bollandbranch.com,brand/retail,52,17155,0.09,20.6,15.2
thegoodtrade.com,brand/retail,106,17027,0.09,14.3,33.6
merriam-webster.com,brand/retail,29,16968,0.09,16.1,9.2
consumerreports.org,brand/retail,142,16955,0.09,18.4,27.0
thecushionlab.com,brand/retail,93,16015,0.08,18.9,25.6
littleunicorn.com,brand/retail,13,16006,0.08,14.2,6.0
juicycouture.com,brand/retail,20,15921,0.08,10.9,9.7
linenme.com,brand/retail,74,15796,0.08,28.4,17.7
thehouseofnoa.com,brand/retail,94,15789,0.08,20.1,31.1
