domain,keywords_ranked,median_position,visibility,relevant_serp_items
www.yelp.com,13,5,7.55,13
www.modernmiami.com,12,4,7.1,12
www.instagram.com,12,11,3.2,12
www.houzz.com,8,8,2.05,8
www.mh2g.com,7,10,2.8,7
addisonhouse.com,6,3,3.6,6
miamifurnitureoutlet.com,5,14,0.4,5
www.scandesign.com,4,3,2.55,4
shopharbour.com,4,11,1.05,4
badcocksfl.com,4,11,1.05,4
www.furniture.com,4,9,0.6,4
www.decorilla.com,4,11,0.55,4
www.natuzzi.com,3,4,2.1,3
www.baers.com,3,4,1.7,3
habitusfurniture.com,3,6,1.6,3
www.miamidesigndistrict.com,3,5,1.3,3
www.havertys.com,3,12,1.05,3
www.cityfurniture.com,3,14,0.5,3
www.imperialmiami.com,3,15,0.25,3
www.thecurated.group,3,15,0.15,3
www.camerichmiami.com,2,5,1.1,2
italodesignusa.com,2,1,1.05,2
nyfurniture.com,2,1,1,2
mezagroup.com,2,6,1,2
telaitalianfurniture.com,2,2,0.9,2
www.bebitalia.com,2,3,0.85,2
www.poliform.it,2,3,0.85,2
stores.cortfurnitureoutlet.com,2,4,0.75,2
www.thebrowarddesigncenter.com,2,5,0.7,2
www.woodworkshomefurnishings.com,2,5,0.6,2
www.conceptomodernliving.com,2,5,0.6,2
www.allmodern.com,2,6,0.5,2
lazzoni.com,2,7,0.4,2
www.ethanallen.com,2,8,0.35,2
zzofficefurniture.com,2,8,0.3,2
italmodfurniture.com,2,8,0.3,2
cassoni.com,2,9,0.25,2
www.boconcept.com,2,10,0.15,2
animadomus.com,2,12,0.1,2
materiacollection.com,2,11,0.05,2
rattanshack.com,2,13,0.05,2
www.target.com,2,15,0.05,2
www.faithfarm.org,2,15,0.05,2
sobefurniture.com,2,15,0.05,2
www.natalianeverko.com,1,1,1.05,2
ds-miami.com,1,2,0.95,2
allweatherpatio.com,1,2,0.9,1
shop.officefurniture4sale.com,1,2,0.9,1
dkorinteriors.com,1,2,0.9,1
ironhorsehome.com,1,2,0.9,1
www.miamicustomfurnitureandupholstery.com,1,2,0.9,1
www.studio790.com,1,3,0.85,2
officefurnitureonline.com,1,3,0.8,1
sdhstudio.com,1,3,0.8,1
www.holzwoodshop.com,1,3,0.8,1
www.uoffurniture.com,1,4,0.7,1
www.architecturaldigest.com,1,4,0.7,1
italiafurniture.com,1,5,0.6,1
www.marcusofficefurniture.com,1,6,0.5,1
m.yelp.com,1,6,0.5,1
interiorarchitects.com,1,6,0.5,1
woodart.miami,1,6,0.5,1
masof.us,1,7,0.4,1
camodernhome.com,1,7,0.4,1
chatburnliving.com,1,7,0.4,1
www.patioliving.com,1,8,0.3,1
www.interiorsbysteveng.com,1,8,0.3,1
www.sofasandsectionals.com,1,8,0.3,1
www.mantrafurnishings.com,1,8,0.3,1
www.esperiri.com,1,8,0.3,1
judithnorman.com,1,8,0.3,1
www.kfrooms.com,1,9,0.2,1
eurolivingfurniture.com,1,9,0.2,1
www.idealcasa.us,1,9,0.2,1
radamiami.com,1,9,0.2,1
www.axisoffice.com,1,10,0.1,1
italy2000usa.com,1,10,0.1,1
www.miamioutdoorfurniture.com,1,11,0.05,1
www.nardesignstudio.com,1,11,0.05,1
aventuramall.com,1,11,0.05,1
miamiwoodworkfurniture.com,1,11,0.05,1
lagoonfurnitures.com,1,12,0.05,1
officesolutionsfl.com,1,12,0.05,1
calligarisnyc.com,1,12,0.05,1
www.palliser.com,1,12,0.05,1
www.bocadolobo.com,1,12,0.05,1
www.buddyrents.com,1,12,0.05,1
miamifurnituremanufacturing.com,1,12,0.05,1
gablesofficefurniture.com,1,13,0.05,1
atmosphereinteriors.com,1,13,0.05,1
www.hollywoodglamfurniture.com,1,13,0.05,1
abtmodern.com,1,13,0.05,1
www.brownjordan.com,1,14,0.05,1
www.ethosource.com,1,14,0.05,1
artemest.com,1,14,0.05,1
www.whitelinemod.com,1,14,0.05,1
www.homegoods.com,1,14,0.05,1
www.rentfurniture.com,1,15,0.05,1
www.creativefurniturestore.com,1,15,0.05,1
www.veninifurniture.com,1,15,0.05,1
