keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
color for may,8100,2462.39990234375,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.4399999976158142,informational
color for january,6600,2006.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.0800000429153442,informational
color for june,6600,2006.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.23000000417232513,informational
color for the month of january,6600,2006.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.0800000429153442,informational
color of january,6600,2006.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.0800000429153442,informational
colors for the month of january,6600,2006.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.0800000429153442,informational
april color,5400,1641.5999755859375,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.6200000047683716,informational
color for september,9900,1603.800048828125,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.03999999910593033,informational
color of september,9900,1603.800048828125,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.03999999910593033,informational
hoodie and blanket,33100,1552.3900146484375,9,https://sundaycitizen.co/products/snug-blanket-hoodie,0,1.340000033378601,transactional
couch pad cover,14800,1440.0400390625,7,https://sundaycitizen.co/products/snug-sofa-cover,0,1.8399999141693115,transactional
colors in may,8100,1312.199951171875,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.4399999976158142,informational
color for october,3600,1094.4000244140625,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.5499999523162842,informational
color of june,6600,1069.199951171875,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.23000000417232513,informational
color of july,2900,881.5999755859375,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.2300000190734863,informational
colors of july,2900,881.5999755859375,2,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.2300000190734863,informational
sofa cover pillow,5400,874.7999877929688,3,https://sundaycitizen.co/products/snug-sofa-cover,0,0.75,transactional
march colours,4400,712.7999877929688,4,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,0.03999999910593033,informational
comforter cool,14800,694.1199951171875,6,https://sundaycitizen.co/products/cloud-cooling-comforter,0,3.440000057220459,informational
does polyester shrink,33100,652.0700073242188,11,https://sundaycitizen.co/blogs/news/does-polyester-shrink,0,0.4099999964237213,informational
august color,6600,642.1799926757812,5,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,,informational
august colours,6600,642.1799926757812,6,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,,informational
january color,6600,642.1799926757812,5,https://sundaycitizen.co/blogs/news/colors-of-the-month-which-color-represents-each-month-of-the-year,0,1.0800000429153442,informational
