keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
wassers,1,1,1900,577.6,21,,0,informational,https://wassersfurniture.com/,1
wasser furniture,1,1,210,63.8,16,4.28000020980835,0.9900000095367432,navigational,https://wassersfurniture.com/,1
wassers furniture,1,1,210,63.8,3,4.28000020980835,0.9900000095367432,navigational,https://wassersfurniture.com/,1
genuine leather ottoman,8,12,480,9.5,0,2.2300000190734863,1,transactional,https://wassersfurniture.com/genuine-leather-ottomans-in-stock.html,1
diva chandelier,2,5,50,8.1,0,1.4500000476837158,0.9200000166893005,transactional,https://wassersfurniture.com/regina-andrew-design-rad-diva-chandelier-grey-item-16-1037gry-free-shipping-no-tax.html,1
mirror times,5,6,110,5.2,16,0.5099999904632568,0.38999998569488525,informational,https://wassersfurniture.com/products/times-mirror,1
sonos connect:amp gen1,9,16,320,4.8,0,0.44999998807907104,1,transactional,https://wassersfurniture.com/sonos-connect-amp.html,1
tempur cloud luxe breeze king,2,2,20,3.2,0,8.640000343322754,1,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,1
tempur-cloud luxe breeze king,2,4,20,3.2,0,8.640000343322754,1,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,1
furniture store hallandale,8,11,90,1.8,5,2.799999952316284,1,navigational,https://wassersfurniture.com/,1
furniture store in hallandale fl,10,14,90,1.0,5,2.799999952316284,1,navigational,https://wassersfurniture.com/,1
furniture stores hallandale fl,10,14,90,1.0,5,2.799999952316284,1,navigational,https://wassersfurniture.com/,1
alligator leather chair,8,13,50,1.0,0,0.4000000059604645,1,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,1
naos coffee tables,8,9,50,1.0,0,1.2300000190734863,0.9900000095367432,transactional,https://wassersfurniture.com/naos-coffee-table-hula-motion-quickship.html,1
w.s furniture,9,11,50,0.8,23,6.960000038146973,0.6600000262260437,navigational,https://wassersfurniture.com/,1
american leather luxe,8,10,40,0.8,0,0.4399999976158142,0.75,navigational,http://wassersfurniture.com/furniture/livingroom/american-leather-luxe.html,1
ws furniture,10,10,50,0.6,36,6.960000038146973,0.6600000262260437,navigational,https://wassersfurniture.com/,1
luxe sofa american leather,9,13,40,0.6,0,3.7899999618530273,1,transactional,http://wassersfurniture.com/furniture/livingroom/american-leather-luxe.html,1
romina new york crib,7,9,20,0.5,0,4.929999828338623,1,navigational,https://wassersfurniture.com/romina-furniture-new-york-crib.html,1
small wood bead chandelier,10,16,20,0.2,0,1.4600000381469727,1,transactional,https://wassersfurniture.com/little-wasser-s-boho-wood-bead-chandelier.html,1
