keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
pillow,165000,50160,3,https://www.tempurpedic.com/shop-pillows/all/,30,2.509999990463257,transactional
pillows,165000,26730,5,https://www.tempurpedic.com/shop-pillows/all/,3,2.509999990463257,transactional
pillow for neck,49500,15048,2,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,8,1.3199999332427979,transactional
fortiva,110000,7249,5,https://help.tempurpedic.com/hc/en-us/articles/23698524685719-How-do-I-log-into-my-Fortiva-Retail-Credit-account,25,0.6299999952316284,informational
memory foam bed topper,110000,7249,5,https://www.tempurpedic.com/other-products/tempur-toppers/,5,1.850000023841858,transactional
waterproof mattress protectors,40500,6561,4,https://www.tempurpedic.com/bedding/tempur-protect-mattress-protector/,0,1.9600000381469727,transactional
split king bed,18100,5502.39990234375,1,https://www.tempurpedic.com/split-king/,0,11.260000228881836,transactional
bed memory foam mattress topper,110000,5159,12,https://www.tempurpedic.com/other-products/tempur-toppers/,0,1.850000023841858,transactional
neck ache pillow,49500,4816.35009765625,3,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,12,2.4800000190734863,transactional
pillow for neck pain,49500,4816.35009765625,4,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,16,2.4800000190734863,transactional
pillows for cervical pain,49500,4816.35009765625,4,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,8,2.4800000190734863,transactional
pillows for neck pain,49500,4816.35009765625,4,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,16,2.4800000190734863,transactional
pillows neck,49500,4816.35009765625,6,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,17,1.3199999332427979,transactional
sore neck pillow,49500,4816.35009765625,8,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,8,2.4800000190734863,transactional
mattress memory foam topper,110000,3718,9,https://www.tempurpedic.com/other-products/tempur-toppers/,1,1.850000023841858,transactional
king split adjustable mattress,12100,3678.39990234375,3,https://www.tempurpedic.com/split-king/,0,12.960000038146973,transactional
mattress pad protector queen,12100,3678.39990234375,3,https://www.tempurpedic.com/bedding/tempur-protect-mattress-protector/,0,1.5399999618530273,transactional
cervical pain pillow,49500,3262.050048828125,7,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,0,2.4800000190734863,transactional
neck problem pillow,49500,3262.050048828125,7,https://www.tempurpedic.com/shop-pillows/tempur-neck-pillow/,18,2.4800000190734863,transactional
