keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
cotton cover duvet,90500,27512,1,https://us.pigletinbed.com/collections/cotton-duvet-covers,0,1.8600000143051147,transactional
cotton duvet cover,90500,27512,2,https://us.pigletinbed.com/collections/cotton-duvet-covers,3,1.8600000143051147,transactional
duvet set cotton,90500,27512,2,https://us.pigletinbed.com/collections/cotton-duvet-covers,0,1.8600000143051147,transactional
linen sheets,60500,18392,2,https://us.pigletinbed.com/collections/linen-bedding,0,4.25,transactional
duvet cover,165000,16054.5,5,https://us.pigletinbed.com/collections/duvet-covers,2,2.4800000190734863,transactional
duvet covers,165000,16054.5,5,https://us.pigletinbed.com/collections/duvet-covers,3,2.4800000190734863,transactional
fitted bed sheets,40500,12312,2,https://us.pigletinbed.com/collections/cotton-fitted-sheets,0,2.180000066757202,transactional
fitted sheet,40500,12312,2,https://us.pigletinbed.com/collections/fitted-sheets,0,2.180000066757202,transactional
fitted sheets,40500,12312,2,https://us.pigletinbed.com/collections/fitted-sheets,0,2.180000066757202,informational
bed linen sets cotton,33100,10062.400390625,1,https://us.pigletinbed.com/collections/cotton-bedding,1,1.5199999809265137,transactional
bed sets cotton,33100,10062.400390625,2,https://us.pigletinbed.com/collections/cotton-bedding,1,1.5199999809265137,transactional
cotton bed linen set,33100,10062.400390625,2,https://us.pigletinbed.com/collections/cotton-bedding,0,1.5199999809265137,transactional
duvet sets cotton,90500,8805.650390625,4,https://us.pigletinbed.com/collections/cotton-duvet-covers,0,1.8600000143051147,transactional
bed skirt,27100,8238.400390625,2,https://us.pigletinbed.com/collections/bed-skirts,0,0.9700000286102295,transactional
dust ruffle for bed,27100,8238.400390625,4,https://us.pigletinbed.com/collections/bed-skirts,0,0.9700000286102295,transactional
100 cotton bed set,22200,6748.7998046875,1,https://us.pigletinbed.com/collections/cotton-bedding,0,1.7100000381469727,transactional
100 cotton bedding set,22200,6748.7998046875,1,https://us.pigletinbed.com/collections/cotton-bedding,0,1.7100000381469727,transactional
100 cotton sheets,22200,6748.7998046875,3,https://us.pigletinbed.com/collections/cotton-bedding,0,1.7100000381469727,transactional
bed sheets 100 cotton,22200,6748.7998046875,2,https://us.pigletinbed.com/collections/cotton-bedding,0,1.7100000381469727,transactional
bedsheet 100 cotton,22200,6748.7998046875,2,https://us.pigletinbed.com/collections/cotton-bedding,0,1.7100000381469727,transactional
fitted bottom sheets,40500,6561,3,https://us.pigletinbed.com/collections/cotton-fitted-sheets,0,2.180000066757202,transactional
fitting bed sheet,40500,6561,5,https://us.pigletinbed.com/collections/cotton-fitted-sheets,0,2.180000066757202,informational
kids bedding,40500,6561,2,https://us.pigletinbed.com/collections/kids,0,1.6800000667572021,transactional
mattress sheets fitted,40500,6561,3,https://us.pigletinbed.com/collections/fitted-sheets,0,2.180000066757202,transactional
linen for bed sheets,60500,5886.64990234375,4,https://us.pigletinbed.com/collections/linen-bedding,0,4.25,transactional
sheets and linens,60500,5886.64990234375,11,https://us.pigletinbed.com/collections/linen-bedding,0,4.25,transactional
duvet and cover,165000,5577,11,https://us.pigletinbed.com/collections/duvet-covers,0,2.4800000190734863,transactional
standard pillowcase dimensions,18100,5502.39990234375,4,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,0,1.2899999618530273,informational
standard size pillowcase,18100,5502.39990234375,5,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,0,1.2899999618530273,transactional
standard size pillowcase measurements,18100,5502.39990234375,4,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,0,1.2899999618530273,informational
comforter set cotton,33100,5362.2001953125,3,https://us.pigletinbed.com/collections/cotton-bedding,0,1.4500000476837158,transactional
cotton bed sheets,33100,5362.2001953125,3,https://us.pigletinbed.com/collections/cotton-bedding,8,1.5199999809265137,transactional
cotton bedding set,33100,5362.2001953125,5,https://us.pigletinbed.com/collections/cotton-bedding,3,1.5199999809265137,transactional
cotton bedspread sets,33100,5362.2001953125,5,https://us.pigletinbed.com/collections/cotton-bedding,0,1.5199999809265137,transactional
bed linen sheet,14800,4499.2001953125,2,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
linen bed,14800,4499.2001953125,3,https://us.pigletinbed.com/collections/linen-bedding,0,4.150000095367432,transactional
linen bed set,14800,4499.2001953125,1,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
linen bedding sets,14800,4499.2001953125,1,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
linen bedding sheets,14800,4499.2001953125,3,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
linen sheets bed,14800,4499.2001953125,3,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
linen sheets for bed,14800,4499.2001953125,4,https://us.pigletinbed.com/collections/linen-bedding,0,3.9000000953674316,transactional
cotton sheets,27100,4390.2001953125,3,https://us.pigletinbed.com/collections/cotton-bedding,1,2.1700000762939453,transactional
sheets cotton,27100,4390.2001953125,5,https://us.pigletinbed.com/collections/cotton-bedding,19,2.1700000762939453,transactional
bed dust ruffle queen,12100,3678.39990234375,5,https://us.pigletinbed.com/collections/bed-skirts,0,0.8399999737739563,transactional
bed skirt queen,12100,3678.39990234375,4,https://us.pigletinbed.com/collections/bed-skirts,0,0.8399999737739563,transactional
bedskirt for queen bed,12100,3678.39990234375,4,https://us.pigletinbed.com/collections/bed-skirts,0,0.8399999737739563,transactional
bedskirt queen bed,12100,3678.39990234375,4,https://us.pigletinbed.com/collections/bed-skirts,0,0.8399999737739563,transactional
100 cotton bed sheets,22200,3596.39990234375,4,https://us.pigletinbed.com/collections/cotton-bedding,5,1.7100000381469727,transactional
cotton bedspread set,33100,3220.6298828125,7,https://us.pigletinbed.com/collections/cotton-bedding,0,1.5199999809265137,transactional
bed and blankets,9900,3009.60009765625,2,https://us.pigletinbed.com/collections/blankets-and-throws,0,2.490000009536743,transactional
bed sheet flat sheet,9900,3009.60009765625,4,https://us.pigletinbed.com/collections/flat-sheets,0,0.949999988079071,transactional
bedroom blanket,9900,3009.60009765625,2,https://us.pigletinbed.com/collections/blankets-and-throws,0,2.490000009536743,transactional
queen size linen,9900,3009.60009765625,4,https://us.pigletinbed.com/collections/all-bedding,0,1.6800000667572021,transactional
set of bedsheets,9900,3009.60009765625,4,https://us.pigletinbed.com/collections/all-bedding,0,3.2100000381469727,transactional
pillowcase,18100,2932.199951171875,4,https://us.pigletinbed.com/collections/pillowcases,0,1.5699999332427979,transactional
standard pillowcases sizes,18100,2932.199951171875,5,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,0,1.2899999618530273,informational
bed and linen,8100,2462.39990234375,5,https://us.pigletinbed.com/collections/linen-bedding,0,5.46999979019165,transactional
bed and linens,8100,2462.39990234375,4,https://us.pigletinbed.com/,0,5.46999979019165,transactional
bed bedding,8100,2462.39990234375,1,https://us.pigletinbed.com/collections/all-bedding,11,5.46999979019165,transactional
