Target Hero Keyword,Hero Volume,Page Type,Current / New Page,SC Current Position,Winnability,Realistic Traffic /mo,Plan Status,Page to Beat,Page to Beat Rank
sheets for cooling,33100,Existing,https://sundaycitizen.co/collections/cooling-edit-bedding,,medium,1490,Whitespace — plan new page,,none of the 5 rank top 7
how to folding bed sheets,33100,New,https://sundaycitizen.co/pages/sheets-size-guide,,medium,1490,Whitespace — plan new page,,none of the 5 rank top 7
cooling bedding sets,33100,Existing,https://sundaycitizen.co/collections/cooling-edit-bedding-1,,medium,1490,Whitespace — plan new page,,none of the 5 rank top 7
comforter set cotton,33100,New,https://sundaycitizen.co/collections/cotton-comforter,,medium,1490,Beat competitor,https://us.pigletinbed.com/collections/cotton-bedding,#3 us.pigletinbed.com (for 'comforter set cotton')
cotton bedspread sets,33100,New,https://sundaycitizen.co/collections/cotton-bedspread,,medium,1490,Beat competitor,https://us.pigletinbed.com/collections/cotton-bedding,#5 us.pigletinbed.com (for 'cotton bedspread sets')
throw blankets dimensions,12100,New,https://sundaycitizen.co/pages/throw-size-guide,,high,1452,Beat competitor,https://parachutehome.com/blogs/posts/throw-blanket-size-guide,#5 parachutehome.com (for 'how big are throw blankets')
silk sheets bed,27100,New,https://sundaycitizen.co/collections/silk-sheets,,medium,1220,Whitespace — plan new page,,none of the 5 rank top 7
pillows with cooling,27100,New,https://sundaycitizen.co/collections/cooling-pillow,,medium,1220,Whitespace — plan new page,,none of the 5 rank top 7
lyocell,27100,New,https://sundaycitizen.co/collections/lyocell-collection,,medium,1220,Whitespace — plan new page,,none of the 5 rank top 7
cooling towels,27100,New,https://sundaycitizen.co/collections/cooling-towel,,medium,1220,Whitespace — plan new page,,none of the 5 rank top 7
lumbar pillow,22200,Existing,https://sundaycitizen.co/collections/throw-pillows,,medium,999,Whitespace — plan new page,,none of the 5 rank top 7
pillow shams,22200,Existing,https://sundaycitizen.co/collections/shams,,medium,999,Whitespace — plan new page,,none of the 5 rank top 7
king size pillows,22200,New,https://sundaycitizen.co/collections/king-pillow,,medium,999,Whitespace — plan new page,,none of the 5 rank top 7
full size bedding,110000,New,https://sundaycitizen.co/collections/full-bedding,,low,990,Beat competitor,https://www.potterybarn.com/shop/bedding/,#2 potterybarn.com (for 'full size bedding')
sateen,8100,New,https://sundaycitizen.co/collections/sateen-collection,,high,972,Beat competitor,https://www.brooklinen.com/collections/luxe-sateen-sheets,#2 brooklinen.com (for 'cotton sateen bed set')
