band,aug_2025,aug_2026,change,pct_change
Position 1,6,3,-3,-50.0
Positions 2-3,72,3,-69,-95.8
Positions 4-10,256,14,-242,-94.5
Positions 11-20,354,20,-334,-94.4
Positions 21-30,281,26,-255,-90.7
Positions 31-40,272,42,-230,-84.6
Positions 41-50,265,31,-234,-88.3
Positions 51-60,229,27,-202,-88.2
Positions 61-70,177,16,-161,-91.0
Positions 71-80,146,4,-142,-97.3
Positions 81-90,129,3,-126,-97.7
Positions 91-100,75,2,-73,-97.3
PAGE 1 (1-10),334,20,-314,-94.0
PAGE 2 (11-20),354,20,-334,-94.4
PAGE 3 (21-30),281,26,-255,-90.7
TOTAL KEYWORDS,2262,191,-2071,-91.6
EST. VISITS/MO,4497.0,891.5,-3605.5,-80.2
