keyword,bucket,volume,cpc_usd,competition,intent,kd,sources
bet365,competitor/brand,5000000,2.180000066757202,LOW,commercial,34,comp:betfred.com
sky bet,competitor/brand,3350000,2.37,LOW,commercial,33,ideas
lotto result,casino (exclude),2740000,0.33000001311302185,LOW,informational,23,comp:betfred.com
lotto results,casino (exclude),2740000,0.9100000262260437,LOW,informational,24,comp:betfred.com
betfred,competitor/brand,2240000,2.630000114440918,LOW,commercial,39,comp:betfred.com
lottery result,casino (exclude),1830000,0.38999998569488525,LOW,informational,36,comp:betfred.com
lottery results,casino (exclude),1830000,1.0099999904632568,LOW,informational,29,comp:betfred.com
uk thunderball results,informational (exclude),673000,2.05,LOW,informational,10,ideas
49s,G other,673000,4.039999961853027,LOW,informational,1,comp:betfred.com
lotto results uk lottery,casino (exclude),673000,0.28999999165534973,LOW,informational,25,comp:betfred.com
result national lotto,casino (exclude),673000,0.44999998807907104,LOW,informational,23,comp:betfred.com
today's horse racing results,informational (exclude),673000,1.8399999141693115,LOW,informational,69,comp:betfred.com
virgin bet,competitor/brand,550000,5.82,LOW,informational,20,ideas
irish lottery results,casino (exclude),450000,2.0899999141693115,LOW,informational,18,comp:betfred.com
irish lotto irish lottery results,casino (exclude),450000,4.090000152587891,LOW,informational,18,comp:betfred.com
lottery irish results,casino (exclude),450000,4.090000152587891,LOW,informational,20,comp:betfred.com
lottery results tonight,casino (exclude),450000,0.8100000023841858,LOW,informational,23,comp:betfred.com
lotto results for tonight,casino (exclude),450000,0.8100000023841858,LOW,informational,23,comp:betfred.com
lotto results irish,casino (exclude),450000,2.0899999141693115,LOW,informational,15,comp:betfred.com
lotto results irish lottery,casino (exclude),450000,4.090000152587891,LOW,informational,18,comp:betfred.com
lotto tonight results,casino (exclude),450000,0.8100000023841858,LOW,informational,35,comp:betfred.com
result of irish lotto,casino (exclude),450000,4.090000152587891,LOW,informational,18,comp:betfred.com
results for irish lottery,casino (exclude),450000,4.090000152587891,LOW,informational,12,comp:betfred.com
results lotto tonight,casino (exclude),450000,0.8100000023841858,LOW,informational,23,comp:betfred.com
tonight's lotto results,casino (exclude),450000,0.8100000023841858,LOW,informational,33,comp:betfred.com
49s results,informational (exclude),368000,6.789999961853027,LOW,informational,20,comp:betfred.com
irish lottery,casino (exclude),368000,7.349999904632568,LOW,informational,35,comp:betfred.com
